compound,ABL1,ABL2_ARG,ACK1,AKT1,AKT2,AKT3,ALK,ALK1_ACVRL1,ALK2_ACVR1,ALK4_ACVR1B,ALK5_TGFBR1,ARAF,ARK5_NUAK1,ASK1_MAP3K5,AURORA_A,AURORA_B,AURORA_C,AXL,BLK,BMX_ETK,BRAF,BRK,BRSK1,BRSK2,BTK,C_KIT,C_MER,C_MET,C_SRC,CAMK1A,CAMK1B,CAMK1D,CAMK1G,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CDK1_CYCLIN_A,CDK1_CYCLIN_B,CDK2_CYCLIN_A,CDK2_CYCLIN_E,CDK3_CYCLIN_E,CDK4_CYCLIN_D1,CDK4_CYCLIN_D3,CDK5_P25,CDK5_P35,CDK6_CYCLIN_D1,CDK6_CYCLIN_D3,CDK7_CYCLIN_H,CDK9_CYCLIN_K,CDK9_CYCLIN_T1,CHK1,CHK2,CK1A1,CK1D,CK1EPSILON,CK1G1,CK1G2,CK1G3,CK2A,CK2A2,CLK1,CLK2,CLK3,CLK4,COT1_MAP3K8,CSK,CTK_MATK,DAPK1,DAPK2,DCAMKL2,DDR2,DMPK,DRAK1_STK17A,DYRK1_DYRK1A,DYRK1B,DYRK2,DYRK3,DYRK4,EGFR,EPHA1,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHA8,EPHB1,EPHB2,EPHB3,EPHB4,ERBB2_HER2,ERBB4_HER4,ERK1,ERK2_MAPK1,FAK_PTK2,FER,FES_FPS,FGFR1,FGFR2,FGFR3,FGFR4,FGR,FLT1_VEGFR1,FLT3,FLT4_VEGFR3,FMS,FRK_PTK5,FYN,GCK_MAP4K2,GRK2,GRK3,GRK4,GRK5,GRK6,GRK7,GSK3A,GSK3B,HASPIN,HCK,HGK_MAP4K4,HIPK1,HIPK2,HIPK3,HIPK4,IGF1R,IKKA_CHUK,IKKB_IKBKB,IKKE_IKBKE,IR,IRAK1,IRAK4,IRR_INSRR,ITK,JAK1,JAK2,JAK3,JNK1,JNK2,JNK3,KDR_VEGFR2,KHS_MAP4K5,LCK,LIMK1,LKB1,LOK_STK10,LRRK2,LYN,LYN_B,MAPKAPK2,MAPKAPK3,MAPKAPK5_PRAK,MARK1,MARK2_PAR_1BA,MARK3,MARK4,MEK1,MEK2,MEKK2,MEKK3,MELK,MINK_MINK1,MKK6,MLCK_MYLK,MLCK2_MYLK2,MLK1_MAP3K9,MLK2_MAP3K10,MLK3_MAP3K11,MNK1,MNK2,MRCKA_CDC42BPA,MRCKB_CDC42BPB,MSK1_RPS6KA5,MSK2_RPS6KA4,MSSK1_STK23,MST1_STK4,MST2_STK3,MST3_STK24,MST4,MUSK,MYO3B,NEK1,NEK11,NEK2,NEK3,NEK4,NEK6,NEK7,NEK9,NLK,OSR1_OXSR1,P38A_MAPK14,P38B_MAPK11,P38D_MAPK13,P38G,P70S6K_RPS6KB1,P70S6KB_RPS6KB2,PAK1,PAK2,PAK3,PAK4,PAK5,PAK6,PASK,PBK_TOPK,PDGFRA,PDGFRB,PDK1_PDPK1,PHKG1,PHKG2,PIM1,PIM2,PIM3,PKA,PKACG,PKCA,PKCB1,PKCB2,PKCD,PKCEPSILON,PKCETA,PKCG,PKCIOTA,PKCMU_PRKD1,PKCNU_PRKD3,PKCTHETA,PKCZETA,PKD2_PRKD2,PKG1A,PKG1B,PKG2_PRKG2,PKN1_PRK1,PKN2_PRK2,PLK1,PLK2,PLK3,PRKX,PYK2,RAF1,RET,RIPK2,RIPK5,ROCK1,ROCK2,RON_MST1R,ROS_ROS1,RSK1,RSK2,RSK3,RSK4,SGK1,SGK2,SGK3_SGKL,SIK2,SLK_STK2,SNARK_NUAK2,SRMS,SRPK1,SRPK2,STK16,STK22D_TSSK1,STK25_YSK1,STK33,STK38_NDR1,STK39_STLK3,SYK,TAK1,TAOK1,TAOK2_TAO1,TAOK3_JIK,TBK1,TEC,TGFBR2,TIE2_TEK,TLK2,TRKA,TRKB,TRKC,TSSK2,TXK,TYK1_LTK,TYK2,TYRO3_SKY,ULK1,ULK2,ULK3,VRK1,WEE1,WNK2,WNK3,YES_YES1,ZAK_MLTK,ZAP70,ZIPK_DAPK3,response
Cot inhibitor-2 0.5uM,96.05,94.4,99.55,100,100,97.07,95.64,93.3,100,100,98.96,90.03,91.91,100,94.74,95.82,100,97.93,100,98.47,95.59,100,94.51,98.89,95.3,96.22,94.22,93.9,96.22,99.84,98.77,95.1,100,100,94.41,96.7,100,100,100,100,96.82,97.18,96.86,96.03,98.64,98.17,93.84,100,100,100,98.15,100,99.82,100,95.21,94.95,94.83,99.26,99.84,98.06,95.76,100,97.62,95.58,91.27,100,97.27,96.54,0,100,97.35,99.97,100,95.69,99.73,96.85,92.6,100,94.08,100,93.19,100,41.55,100,94.69,100,98.77,97.9,96.09,97.98,100,100,99.06,96.65,92.68,93.32,89.78,100,100,98.28,91.41,100,98.71,96.01,100,98.71,97.38,99.96,100,100,100,100,95.89,100,100,99.15,100,98.64,100,96.84,90.54,100,97.27,100,88.83,100,99.74,100,98.83,96.98,96.53,95.87,90.64,98.69,95.16,98.17,94.55,100,100,98.8,100,96.46,95.25,100,98.56,95.13,98.9,96.96,100,100,92.73,98.58,98.26,100,100,100,96.32,93.23,100,100,100,95.17,99.04,99.23,99.19,88.69,100,95.56,100,95.4,95.22,100,90.71,94.6,100,93.66,100,94.55,100,100,100,89.92,100,100,94.14,94.28,100,95.56,100,100,98.06,100,94.46,95.34,92.81,94.86,100,93.23,100,100,96.59,100,96.48,98.74,96.8,99.58,100,94.23,99.46,94.96,100,97.61,99.04,100,96.6,95.7,93.78,100,100,97.43,99.38,100,95.67,96.71,99.69,91.44,94.01,92.36,92.82,100,94.42,96.02,87.9,98.31,91.89,96.05,100,95.73,96.93,96.13,98.82,100,100,96.65,99.21,96.75,88.07,96.01,100,100,97.87,99,100,100,100,94.1,91.31,99.1,97.29,100,97.29,100,100,100,95.43,97.86,94.89,100,99.28,98.2,100,100,99.23,94.66,91.54,94.5,98.55,100,100,96.78,100,97.96,97.66,100,100,98.55,96,100,97.3,93.3,99.76,100,94.13,100,100,100,97.1,100,100
Dasatinib 0.5uM,2.15,2.1,2.495,96.9,97.05,94.955,98.005,15.365,98.395,72.995,57.89,27.205,96.295,91.385,84.25,92.08,91.805,73.655,1.74,1.375,40.78,2.57,96.85,97.175,1.34,7.98,93.765,88.41,2.27,99.41,98.465,98.98,95.725,99.255,96.285,97,100,91.875,99.725,96.145,95.685,94.665,91.565,96.15,91.235,94.285,98.56,98.425,98.055,94.33,97.815,100,100,89.41,90.85,95.715,97.82,91.04,92.58,93.28,98.62,95.185,97.525,96.475,100,93.59,96.56,90.71,96.865,3.555,85.26,96.265,95.61,98.615,1.555,100,99.92,99.185,99.195,98.205,99.05,99.5,18.92,2.32,3.555,2.135,1.06,0.975,55.69,95.465,2.445,2.4,0.235,0.79,0.795,74.855,4.425,98.78,95.905,99.985,93.175,95.73,87.895,67.3,87.4,92.335,1.185,98.645,72.15,96.04,0.92,0.37,1.33,80.23,98.48,98.875,93.57,97.535,99.46,97.04,100,98.465,95.535,0.85,48.62,99.74,97.09,100,98.07,95.64,97.525,95.735,89.68,96.175,98.24,92.855,93.535,99.75,100,85.67,90.685,99.575,100,100,95.695,3.19,0.74,16.375,100,52.51,90.74,0.215,0.8,97.305,99.595,97.47,96.585,94.785,95.79,90.12,93.05,82.21,94.105,92.04,89.62,47.66,97.575,95.695,93.295,78.03,88.445,73.415,95.485,96.37,99.61,96.865,95.29,98.525,93.425,93.725,95.325,95.35,79.81,100,92.41,88.43,39.36,98.585,97.05,91.74,87.76,95.495,99.15,28.01,96.195,30.375,65.03,99.63,99.94,99.13,100,98.87,100,97.175,96.475,94.815,100,96.765,95.93,3.805,2.695,95.43,93.135,100,99.265,100,98.13,99.115,98.49,96.85,95.58,86.48,98.1,98.25,99.665,92.715,98.435,96.67,91.46,91.505,95.465,92.75,87.95,94.01,100,89.905,95.705,96.13,98.225,96.885,97.875,94.31,30.405,44.475,35.46,99.675,98.58,91.955,100,93.805,95.925,95.3,91.27,100,99.475,100,98.96,3.05,82.765,96.515,14.715,100,100,98.45,96.385,83.48,91.805,95.31,93.12,65.67,93.105,98.045,87.995,95.95,89.115,5.825,96.02,91.425,97.2,98.595,92.835,65.705,95.945,0.955,95.925,92.65,84.735,92.745,95.39,96.17,92.71,91.83,80.15,87.415,0.97,6.78,96.6,100,87.80223631
"Doramapimod (BIRB 796, p38 MAP Kinase Inhibitor X) 0.5uM",89.03,99.33,94.06,100,100,100,98.27,95.9,89.84,93.23,93.33,80.89,91.77,86.26,100,95.92,93.31,91.5,95.77,100,51.75,93.09,96.89,93.03,95.53,89.24,94.16,90.48,95.18,100,95.67,99.65,88.62,99.95,97.06,99.68,99.26,92.18,97.95,93.89,100,94.78,95.78,94.95,92.73,97.75,100,92.47,94.71,94.09,100,100,100,96.4,89.51,94.38,98.38,93.13,100,92.58,96.92,96.25,89.81,99.75,100,100,100,100,94.73,94.55,91.01,99.94,100,100,3.89,100,96.4,99.58,97.21,100,97.1,100,99.85,98.62,84.1,88.66,85.63,88.53,43.25,1.68,82.14,85.48,33.3,82.92,68.95,99.91,94.92,97.85,93.7,95.9,98.04,93.51,100,100,100,96.04,91.14,96.44,88.33,98.74,97.73,90.31,97.79,95.64,97.22,95.17,97.09,97.54,98.36,96.31,91.61,98.11,98.7,96.28,68.45,100,99.14,100,96.75,92.26,100,96.91,93.06,97.39,97.07,96.26,92.54,99.23,97.41,100,100,97.99,7.82,100,72.42,100,77.7,98.04,100,40.95,95.49,83.63,95.83,95.31,100,98.88,97.77,94.35,98.68,98.51,97.81,84.67,89.16,100,98.74,100,98.29,92.32,93.18,95.56,97.5,77.86,94.34,85.36,100,98.95,100,95.59,93.07,95.15,100,99.82,95.45,100,100,86.26,90.48,100,100,95.59,86.19,95.12,100,92.78,98.27,0,19.62,74.97,15.43,99.01,100,100,99.34,95.77,93.97,98.52,100,95.7,91.12,100,94.68,95.74,92.67,100,99.76,100,100,100,100,98.17,96.73,100,99.65,98.09,97,95.18,96.98,94.58,95.62,87.12,97.85,89.88,87.21,79.37,96.63,90.48,91.58,94.22,96.23,94.49,100,80.77,58.06,66.95,76.79,100,96.08,98.96,100,98.96,97.68,94.23,83.6,100,100,98.79,92.93,98.76,76.37,96.9,100,100,100,100,96.98,95.43,100,93.06,94.62,99.55,73.7,100,100,94.56,93.33,100,99.26,20.6,98.33,81.98,75.76,81.08,93.81,92.78,91.66,97.33,95.57,100,96.18,93.33,97.59,100,100,93.61,96,76.1,99.68,100,98.62852811
GZD824 0.5uM,6.69,5.9,0,99.39,95.35,94.25,98.44,97.66,98.11,98.37,98.6,1.88,100,100,94.49,34.33,90.89,86.85,1.04,0,0,6.32,100,99.12,13.21,19.95,84.28,93.48,0.43,84.49,95.49,100,100,99.74,97.32,94.41,100,98.68,89.19,63.81,92.2,96.77,96.79,99.01,96.19,99.28,93.37,98.7,100,98.2,94.19,96.2,99.27,97.83,76.82,68.46,100,100,99.38,88.83,90.22,96.64,93.03,100,97.56,100,97.49,78.02,100,1.13,25.07,97.59,100,100,2.55,99.28,98.82,100,94.95,98.42,94.73,97.74,24.98,5.74,0,2.02,2.5,1.63,0.86,0,1.32,0,0.66,0.83,1.09,48,5.45,96.85,100,99.9,24.86,17.65,0.95,2.19,2.31,2.46,1.27,1.35,1.88,1.51,1.06,1.19,0.61,4.37,99.84,100,99.44,97.85,100,100,92.49,100,98.48,2.17,14.35,100,100,100,75.77,96.84,69.37,11.98,94.54,92.09,22.2,93.74,93.11,61.56,0.91,6.19,1.32,83.31,39.04,100,1.31,3.02,3.27,9.22,100,16.52,0.97,0.45,3.09,94.72,97.94,100,97.62,96.14,97.72,97.9,91.61,77,12.85,3.35,69.98,23.56,100,89.91,57.84,11.05,65.28,18.44,74.01,36.33,100,100,61.3,77.89,97.08,90.4,100,100,100,94.44,97.61,63.41,81.85,100,100,1.44,100,100,88.53,85.06,100,0.7,2.46,97.13,92.05,10.06,75.06,100,99.57,91.34,100,100,100,94.69,100,0,1.73,98.75,98.56,97.75,96.26,100,100,93.42,14.58,96.61,97.35,95.69,89.76,94.18,100,90.02,96.8,88.82,91.36,100,100,88.34,95.84,100,96.12,100,100,100,98.87,94.83,92.75,13.44,0,0.04,47.74,96.37,94.47,88.8,100,80.9,38.45,29.53,19.4,83.73,99.05,97.34,99.01,31.14,18,96.77,1.39,100,100,100,97.9,100,85.91,85.18,91.12,78.51,2.26,12.82,4.61,35.59,100,17.31,3.6,1.27,100,6.82,6.24,11.51,100,2.37,82.6,4.42,84.63,87.07,98.46,15.03,100,95.82,96.52,91.04,2.62,0.42,99.54,100,88.98037522
JNK Inhibitor VIII 0.5uM,100,100,92.19,100,100,100,92.9,100,95.25,98.46,97.78,100,96.12,92.77,100,100,97.39,100,100,98.37,99.07,93.61,95.66,100,92.48,84.63,83.86,100,94.69,100,96.54,100,100,100,98.09,97.4,100,99.14,100,85.03,92.2,100,100,88.9,97.68,97.62,95.25,96.84,100,95.24,98.62,100,89.22,100,100,100,88.42,100,100,97.66,100,100,96.88,100,98.08,96.13,100,96.12,96.92,95.07,88.59,99.04,100,98.12,95.43,99.54,100,98.52,99.16,100,100,92.63,100,97.38,100,94.75,99.08,100,89.49,100,84.22,94.44,97.59,95.9,98.25,100,98.61,96.03,92.62,97.55,94.06,91.05,100,100,99.03,100,93.59,85.5,100,92.31,99.21,100,100,83.6,100,100,99.75,95.41,98.85,100,98.89,100,98.94,98.47,94.55,100,100,100,100,100,96.12,100,83.69,100,100,94.93,100,100,100,100,99.14,28.12,6.45,51.46,100,95.36,100,100,96.36,97.73,90.54,98.53,93.34,100,100,86.53,98.98,99.76,94.82,96.9,87.01,90.26,92.45,97.1,97.07,97.42,96.8,96.47,99.55,100,91.34,98.76,100,100,98.87,100,100,100,92.27,95.41,100,99.52,100,100,100,95.24,100,87.71,89.99,93.17,98.1,93.48,95.92,100,100,93.85,100,100,94.69,100,96,100,100,100,91.85,100,100,91.14,100,97.11,100,94.6,94.19,100,100,100,95.23,100,100,99.92,97.55,100,96.91,98.83,94.32,95.4,100,88.41,83.73,100,100,91.44,100,96.51,100,100,99.71,95.34,100,100,100,100,91.77,100,80.98,97.36,96.42,93.12,95.03,97.44,79.91,95.65,98.83,94.32,100,100,100,97.89,100,71.95,100,100,97.85,94.05,95.98,94.5,97.72,100,92.72,99.18,96.62,100,99.42,88.6,96.64,99.15,100,100,100,100,100,100,91.16,92.97,97.25,100,100,100,100,100,92.55,88.15,100,93.28,99.25,90.45,90.6,100,95.66851749
K252a 0.5uM,92.87,89.48,1.05,86.17,84.2,27.34,10.71,88.33,100,100,100,100,1.05,3.55,4.62,3.51,7.25,40.97,27.42,7.88,100,23.2,1.56,9.8,8.92,57.34,3.58,53.19,29.96,26.46,55.67,24.38,42.54,0.84,4.81,2.59,3.1,100,19.01,6.56,19.8,18.66,4.2,17.2,47.47,2.9,3.35,8.2,6.63,5.76,7.18,77.76,25.42,26.37,2.6,2.87,93.67,100,100,100,98.72,93.74,82.03,100,1.45,4.38,97.95,10.37,100,31.12,100,29,59.23,74.43,79.98,100,4.07,11.67,3.88,9.9,10.44,96.34,86.59,62.56,63.04,81.29,70.37,70.01,59.51,41.29,96.28,60.85,87.54,92.99,82.52,94.89,84.94,24.37,47.96,67.28,1.83,36.35,43.72,45.41,46.66,82.94,12.13,23.2,2.41,2.5,34.62,68.14,22.94,0.77,100,90.1,44.09,61.97,23.41,4.94,22.35,50.45,10.22,13.25,0.12,100,94.23,100,65.42,57.21,36.47,38.81,2.39,32.16,5.79,1.03,14.44,22.74,1.78,2.95,0.5,28.84,12.42,87.82,19.99,1.07,25.56,6.33,41.39,5.06,0.34,24.79,43.68,13.1,54.69,47.9,1.3,1.56,1.77,0.94,23.65,16.17,2.91,6.93,1.2,0.39,9.58,6.35,6.24,0.36,2.49,0.7,12.75,4.23,84.08,78.9,12.32,2.46,26.76,2.74,2.86,25.79,100,6.05,4.45,36.22,94.44,81.81,92.46,15.01,99.26,90.45,14.7,58.02,100,92.09,98.49,99.52,92.69,7.24,34.94,4.61,7.46,5.64,39.52,24.48,38.91,14.61,2.69,17.12,14.62,1.61,1.19,6.47,18.5,64.96,1.75,18.04,10.77,23.73,26.28,13.8,12.58,10.63,20.5,40.23,42.04,1.32,1.95,22.52,70.13,1.43,13.36,19.08,0,1.34,2.44,46.16,89.69,45.74,7.17,17.03,100,2.36,11.42,1.36,31.24,18.48,82.28,1.55,0,2.61,1.72,1.66,8.03,9.65,53.07,4,7.89,14.52,100,99.16,97.3,32,0.79,73.57,12.46,14.27,81.74,5.99,2.45,26,40.47,16.01,5.25,84.16,47.61,92.33,3.11,2.32,2.11,1.19,16.64,24.35,9.78,0.9,20.37,26.64,6.75,3.25,80.52,72.9,90.59,60.33,17.7,75.87,22.8,27.17,62.97954789
LY 333531 mesylate (Ruboxistaurin) 0.5uM,100,97.46,89.9,87.75,93.33,66.33,66.29,100,100,100,100,100,30.19,98.9,96.2,78.51,94.8,43.86,80.18,87.72,100,100,90.23,83.25,95.39,97.16,22.99,100,94.95,98.05,100,92.47,100,62.77,91.29,80.71,100,100,86.43,55.48,98.42,92.97,85.03,88.66,94.33,58.31,60.58,99.43,95.94,74.68,89.04,93.51,94.11,74.97,43.69,69.13,100,96.74,96.67,93.92,100,99.22,100,68.44,70.07,49.97,99.42,72.82,100,92.66,100,100,92.1,98.38,88.37,100,100,52.79,49.73,60.31,49.7,100,96.87,100,100,100,91.01,96.09,96.79,100,100,98.47,100,100,92.58,97.82,100,100,100,92.83,19.45,96.36,84.83,80.08,97.21,95.86,85.32,86.08,3.4,75.06,93.96,100,86.85,75.77,100,100,100,86.84,88.46,83.54,52.26,44.56,70.68,99.06,44.62,38.83,97.85,53,75.73,83.32,89.51,98.2,73.68,74,77.74,73.61,45.26,90.27,87.2,93.45,31.57,97.18,95.71,100,89.32,43.3,89.78,97.69,88.3,14.29,60.61,84.06,95.37,100,100,100,95.16,79.05,80.64,70.66,100,93.96,99.13,88.67,43.07,55.63,92.82,84.07,91.2,19.6,67.16,34.97,85.99,91.94,100,89.32,20.01,33.37,100,16.97,24.01,79.25,61.58,73.28,90.01,94.99,100,92.35,79.09,100,100,100,99.43,98.33,97.89,100,100,100,91.74,24.88,39.24,90.41,91.06,89.57,91.22,100,100,4.65,97.4,85.91,69.41,19.17,49.81,100,1.44,41.37,1.14,86.67,82.43,0,2.19,2.65,3.11,4.62,8.02,11.17,78.5,71.65,67.73,7.36,83.37,72.82,76.33,98.85,54.98,65.98,72.52,100,95.85,97.98,93.42,96.87,100,70.27,100,100,90.59,85.64,100,11.55,4.77,4.38,3.08,3.2,75.02,79.13,94.15,81.37,48.15,76.25,100,100,100,84.7,87.84,72.86,81.19,100,100,50.85,96.1,84.85,84.31,55.19,44.44,92.78,100,100,84.39,54.78,28.1,3.32,100,93.84,96.96,82.52,71.82,95.04,100,100,90.76,83.89,88.1,100,93.23,100,100,75.5,100
NCGC00263020-01 0.5uM,7.08,9.1,0,98.39,97.82,100,77.9,53.42,27,84.03,83.45,76.89,25.71,77.25,87.89,100,94.78,91.88,56.06,91.69,72.51,17.85,73.82,55.88,83.89,81.4,91.51,85.73,69.7,95.39,98.58,85,97.66,54.46,60.08,54.39,86.99,98.94,64.25,6.93,41.19,40.51,7.5,3.11,16.91,72.85,88.04,24.81,27.55,62.54,92.75,92.32,79.62,35,88.52,70.65,28.41,16.42,26.99,81.33,72.56,82.88,4.18,24.22,3.2,26.57,86.5,68.43,100,85.14,99.65,93.86,100,94.65,92.88,100,31.41,1.54,1.55,3.17,27.92,77.83,93.17,93.58,93.19,93.81,94.48,94.35,84.79,96.26,96.61,89.14,95.86,82.26,90.03,94.29,93.01,94.48,96.77,91.95,72.28,72.4,77.97,40.29,90.21,77.39,65.9,36,1.91,2.74,46.54,69.1,51.52,7.46,93.45,94.27,100,100,99.83,89.88,26.15,45.05,71.22,43.78,1.47,86.74,99.81,88.03,40.51,93.38,100,97.74,14.59,95.75,4.39,7.5,96.22,100,91.56,84.02,83.87,19.65,47.22,100,13.4,15.37,52.1,40.05,42.31,51.41,0.63,29.44,68.34,89.63,98.81,98.38,69.61,50.77,51.34,58.58,63.69,74.56,91.17,91.8,54.63,4.62,57.29,85.24,86.43,35.88,74.26,17.95,30.48,6.46,99.89,100,94.7,100,100,23.68,22.23,10.83,22.04,19.62,0,76.32,81.69,100,100,73.76,99.38,100,100,67.03,85.39,94.09,90.56,43.4,48.87,86.36,100,74.98,90.01,84.26,96.13,85.84,99.05,79.28,54.31,43.83,27.17,96.87,58.86,88.31,91.02,100,87.45,96.04,100,94.06,100,98.15,90.24,93.4,95.69,98.98,94.63,46.39,47.78,96.7,98.68,56.1,89.63,97.1,97.48,89.18,91.48,71.26,36.6,72.33,81.1,92.19,91.3,66.2,18.05,97.49,87.44,82.36,96.79,11.45,84.51,78.17,78.37,81.71,99.04,91.73,100,37.84,80.35,48.66,90.89,100,100,100,27.06,8.49,32.48,93.24,76.75,87.6,24.37,2.45,8.36,19.61,20,96.11,43.84,97.88,100,96.32,92.75,86.09,90.74,78.02,59.65,40.81,100,71.11,89.68,96.8,93.01,85.99,92.76,78.25,67.57,74.35,95.84,93.39,94.61005859
NCGC00344999 0.5uM,9.96,22.22,76.49,86.65,98.72,92.11,16.74,83.15,100,100,99.87,89.7,7.5,99.47,59.67,57.12,68.4,12.89,16.2,27.25,98.55,35.51,100,98.25,20.47,47.33,24.04,92.54,0.36,94.52,100,96.77,100,27.97,57.41,32.16,69.68,100,26.12,4.12,42.61,47.27,64.75,41.08,71.18,68.49,69.29,51.93,47.05,74.07,76.93,4.4,23.19,4.55,43.17,22.65,17.55,27.06,28.04,37.26,78.07,60.29,6.35,3.65,0,0.03,28.42,1.3,100,8.27,100,93.13,91.58,96.15,13.67,98.29,35.54,1.74,1.26,3.06,5.98,73.58,94.27,93.17,60.87,78.31,70.79,72.14,63.27,59.8,87.06,26.34,36.5,94.68,50.43,96.82,100,99.53,100,61,2.72,2.26,41.18,23.16,54.12,91.84,2.55,56.97,2.64,21.09,19.45,71.86,1.9,6.4,96.65,100,100,100,91.31,84.87,53.95,54.24,55.4,15.78,6.45,3.26,13.61,2.68,27.52,88.16,86.19,95.07,41.51,43.23,1.12,1.47,49.9,0.89,68.93,19.05,31.03,73.22,91.19,100,53.94,16.36,12.69,85.35,89.73,46.65,2.61,14.13,31.67,96.7,95.87,93.67,19.33,7.76,9.83,11.59,96.05,93.43,64.47,73.61,3.65,14.03,96.44,88.09,93.74,3.17,16.89,4.11,87.85,94.09,96.38,90.28,73.84,79.91,100,64.21,96.88,75.48,96.96,6.02,65.37,80.32,82.09,88.32,95.38,25.53,100,100,88.76,88.87,95.92,98.11,100,98.47,99,75.18,98.41,90.38,92.34,97.2,33.54,47.47,100,92.64,89.24,26.37,27.15,71.5,5.12,6.23,95.54,95.84,72.33,89.36,91.7,83.44,100,90.8,90.42,92.16,95.7,99.13,90.92,93,90.41,98.61,94.76,92.96,56.51,48.18,35.8,42.98,69.31,96.73,99.39,98.54,51.13,65.35,100,1.46,21.14,88.78,78.74,72.74,90.55,88.9,6.92,8.07,5.85,5.51,91.24,100,90.08,3.73,72.15,61.46,86.19,88.99,76.28,15.11,19.93,90.84,6.81,94.52,100,53,7.29,12.03,35.33,55.93,33.4,21.44,79.45,100,100,3.04,1.2,0.82,68.11,6.49,49.14,15.87,40.68,42.27,87.77,93.82,92.25,97.98,89.02,66.45,0,40.97,96.62,85.57,97.90145668
NVP-BVU972 0.5uM,97.82,90.63,90.45,93.64,97.29,100,94.47,100,100,100,100,100,98.66,100,97.08,99.25,97.2,99.12,100,93.43,100,99.06,97.8,97.19,95.76,100,95.95,1.18,88.91,98.07,97.8,98.31,100,91.83,91.81,90.55,100,97.06,100,100,84.57,94.62,98.31,93.87,100,95.16,96.79,100,100,100,89.36,97.98,98.42,95.36,100,97.73,94.92,98.96,98.33,100,92.07,100,90.65,96.1,66.86,86.18,94.36,64.95,100,92.88,100,100,100,96.58,95.68,97.91,97.42,55.48,44,70.43,88.54,99.17,96.67,100,91.33,95.62,93.73,96.76,96.06,97.05,98.41,100,96.3,98.72,95.06,100,100,100,98.55,97.84,96.2,97.69,95.73,100,100,99.61,97.71,99.02,85.11,100,99.12,97.62,88.57,100,98.94,98.95,100,93.88,99.71,97.86,89.2,97.78,61.46,100,76.26,92.57,100,100,99.95,100,100,94.38,97,95.86,83.7,100,95.68,100,100,99.27,100,87.45,98.26,100,93.69,100,100,100,100,95.49,99.28,94.16,90.92,95.51,100,100,98.95,95.24,100,99.74,100,100,100,94.96,58.86,85.81,100,96.95,96.27,96.61,100,100,97.5,98.27,94.45,95.96,100,93.77,100,95.93,100,89.97,99.03,75.2,99.69,100,100,92.07,100,86.27,100,100,100,95.96,92.54,96.7,100,99.79,100,100,97.9,97.88,95.53,93.05,97.35,97.07,100,85.08,100,92.6,100,95.46,96.16,97.87,98.58,93.7,95.9,100,98.33,100,97.03,86.78,94.55,98.7,96.67,92.39,94.33,95.9,94.34,100,100,95.93,93.75,98.67,94.72,97.39,98.06,99.61,99.24,99.22,100,97.86,100,97.23,97.75,97.65,92.33,96.67,99.4,100,100,99.33,96.53,100,94.61,99.86,98.76,98.21,96.11,99.77,94.56,100,100,100,100,100,81.72,97.73,99.29,96.94,92.5,100,100,98.38,91.46,94.67,95.23,100,96.38,80.51,84.82,60,99.09,95.05,100,97.99,92.49,100,99.45,96.36,84.03,100,100,100,100,100,100,100,99.30445228
PD 166285 dihydrochloride 0.5uM,0,2.78,0,98.57,97.36,100,80.6,1.76,4.25,3.75,7.49,0,18.35,92.66,74.44,89.08,83.79,28.34,0.54,0.33,6.04,1.11,27.88,49.75,0.47,11.28,7.76,71.02,0.42,99.07,93.83,69.14,84.85,93.72,86.26,89.39,100,91.9,100,91.07,96.16,94.94,93.46,96.51,95.09,81.5,67.57,97.84,100,83.44,70.85,100,100,87.95,37.45,61.34,93.49,90.47,86.24,94.08,96.39,96.31,89.1,93.29,100,96.11,97.77,80.93,100,0,98.57,91.33,99.58,80.03,1.03,100,94.6,99.45,95.62,100,100,100,5.79,1.78,0.59,1.06,1.02,2.12,2.57,59.92,0.26,0,0.78,3.35,0,74.61,17.87,83.86,76.56,58.47,17.82,5.08,3.2,1.74,2.96,15.5,0,19.51,14.01,11.01,0.63,0.63,0.28,47.95,100,94.84,100,98.69,100,94.81,91.21,99.41,99.61,0.69,8.93,100,100,100,86.89,89.05,100,99.23,93.14,86.61,32.03,99.98,56.69,93.88,33.35,4.32,13.98,47.61,85.43,100,18.04,3.17,0.96,4.83,89.41,11.46,24.97,0.24,2.45,100,100,100,7.53,5.58,7.55,3.55,43.71,10.66,38.7,23.38,23.98,8.25,100,86,2.62,10.02,32.92,38.38,98.59,92.16,97.1,99.66,96.75,90.37,90.78,51.91,88.98,39.52,40.37,99.79,40.5,39.76,23.55,2.58,88.06,70.73,81.91,100,90.22,7.13,66.21,1.67,11.14,100,100,85.54,99.22,24.73,54.36,38.36,81.67,63.35,99.37,94.26,97.1,3.97,1.98,100,87.46,96.32,98.68,99.32,94.05,91.03,93.83,91.28,93.57,93.66,95.32,97.97,96.57,91.58,98.47,7.51,13.19,87.46,97.44,8.66,89.61,82.72,100,86.75,91.63,95.23,90.2,92.04,50.97,41.25,6.93,2.09,39.42,95.42,99.71,96.4,38.53,39.63,58.43,64.65,71.25,68.83,100,98.89,100,0,46.2,18.3,31.95,100,100,100,13.56,49.44,91.12,91.36,73.53,29.41,94.91,8.31,2.87,44.36,95.52,2.69,21.4,13.92,100,38.56,62.33,15.72,89.64,0.89,64.96,18.39,4.07,17.27,59.71,77.42,100,63.51,51.45,75.5,1,12.28,81.75,100,14.32539944
