compound,ABL1,ABL2_ARG,ACK1,AKT1,AKT2,AKT3,ALK,ALK1_ACVRL1,ALK2_ACVR1,ALK4_ACVR1B,ALK5_TGFBR1,ARAF,ARK5_NUAK1,ASK1_MAP3K5,AURORA_A,AURORA_B,AURORA_C,AXL,BLK,BMX_ETK,BRAF,BRK,BRSK1,BRSK2,BTK,C_KIT,C_MER,C_MET,C_SRC,CAMK1A,CAMK1B,CAMK1D,CAMK1G,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CDK1_CYCLIN_A,CDK1_CYCLIN_B,CDK2_CYCLIN_A,CDK2_CYCLIN_E,CDK3_CYCLIN_E,CDK4_CYCLIN_D1,CDK4_CYCLIN_D3,CDK5_P25,CDK5_P35,CDK6_CYCLIN_D1,CDK6_CYCLIN_D3,CDK7_CYCLIN_H,CDK9_CYCLIN_K,CDK9_CYCLIN_T1,CHK1,CHK2,CK1A1,CK1D,CK1EPSILON,CK1G1,CK1G2,CK1G3,CK2A,CK2A2,CLK1,CLK2,CLK3,CLK4,COT1_MAP3K8,CSK,CTK_MATK,DAPK1,DAPK2,DCAMKL2,DDR2,DMPK,DRAK1_STK17A,DYRK1_DYRK1A,DYRK1B,DYRK2,DYRK3,DYRK4,EGFR,EPHA1,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHA8,EPHB1,EPHB2,EPHB3,EPHB4,ERBB2_HER2,ERBB4_HER4,ERK1,ERK2_MAPK1,FAK_PTK2,FER,FES_FPS,FGFR1,FGFR2,FGFR3,FGFR4,FGR,FLT1_VEGFR1,FLT3,FLT4_VEGFR3,FMS,FRK_PTK5,FYN,GCK_MAP4K2,GRK2,GRK3,GRK4,GRK5,GRK6,GRK7,GSK3A,GSK3B,HASPIN,HCK,HGK_MAP4K4,HIPK1,HIPK2,HIPK3,HIPK4,IGF1R,IKKA_CHUK,IKKB_IKBKB,IKKE_IKBKE,IR,IRAK1,IRAK4,IRR_INSRR,ITK,JAK1,JAK2,JAK3,JNK1,JNK2,JNK3,KDR_VEGFR2,KHS_MAP4K5,LCK,LIMK1,LKB1,LOK_STK10,LRRK2,LYN,LYN_B,MAPKAPK2,MAPKAPK3,MAPKAPK5_PRAK,MARK1,MARK2_PAR_1BA,MARK3,MARK4,MEK1,MEK2,MEKK2,MEKK3,MELK,MINK_MINK1,MKK6,MLCK_MYLK,MLCK2_MYLK2,MLK1_MAP3K9,MLK2_MAP3K10,MLK3_MAP3K11,MNK1,MNK2,MRCKA_CDC42BPA,MRCKB_CDC42BPB,MSK1_RPS6KA5,MSK2_RPS6KA4,MSSK1_STK23,MST1_STK4,MST2_STK3,MST3_STK24,MST4,MUSK,MYO3B,NEK1,NEK11,NEK2,NEK3,NEK4,NEK6,NEK7,NEK9,NLK,OSR1_OXSR1,P38A_MAPK14,P38B_MAPK11,P38D_MAPK13,P38G,P70S6K_RPS6KB1,P70S6KB_RPS6KB2,PAK1,PAK2,PAK3,PAK4,PAK5,PAK6,PASK,PBK_TOPK,PDGFRA,PDGFRB,PDK1_PDPK1,PHKG1,PHKG2,PIM1,PIM2,PIM3,PKA,PKACG,PKCA,PKCB1,PKCB2,PKCD,PKCEPSILON,PKCETA,PKCG,PKCIOTA,PKCMU_PRKD1,PKCNU_PRKD3,PKCTHETA,PKCZETA,PKD2_PRKD2,PKG1A,PKG1B,PKG2_PRKG2,PKN1_PRK1,PKN2_PRK2,PLK1,PLK2,PLK3,PRKX,PYK2,RAF1,RET,RIPK2,RIPK5,ROCK1,ROCK2,RON_MST1R,ROS_ROS1,RSK1,RSK2,RSK3,RSK4,SGK1,SGK2,SGK3_SGKL,SIK2,SLK_STK2,SNARK_NUAK2,SRMS,SRPK1,SRPK2,STK16,STK22D_TSSK1,STK25_YSK1,STK33,STK38_NDR1,STK39_STLK3,SYK,TAK1,TAOK1,TAOK2_TAO1,TAOK3_JIK,TBK1,TEC,TGFBR2,TIE2_TEK,TLK2,TRKA,TRKB,TRKC,TSSK2,TXK,TYK1_LTK,TYK2,TYRO3_SKY,ULK1,ULK2,ULK3,VRK1,WEE1,WNK2,WNK3,YES_YES1,ZAK_MLTK,ZAP70,ZIPK_DAPK3,response
PD 173955 Analogue 1 0.5uM,5.85,5.46,0,92.81,96.31,96.6,95.98,32.81,87.72,63.65,69.4,1.67,66.73,95.23,19.15,51.01,74.02,81.98,2.27,2.03,6.37,19.53,16.43,34.84,7,52.74,88.83,82.48,0.85,94.2,96.87,95.46,100,97.72,92.54,92.21,100,100,100,96.8,94.84,94.12,94.22,92.98,94.64,100,95.9,88.36,95.5,96.36,94.15,98.6,100,90.74,82.83,59.35,91.97,72.44,53.35,90.08,94.49,97.85,81.47,96.3,98.56,99.9,94.84,99.46,100,7.52,100,100,99.95,100,3.66,98.47,100,95,90.37,89.96,88.05,96.71,37.88,15.74,3.58,5.58,10.57,9.34,36.08,89.37,12.04,4.93,16.08,35.73,5.31,89.93,88.67,68.61,48.57,100,76.31,76.57,35.08,17.61,32.33,8.27,2.24,76.72,51.87,70.87,1.36,6.66,2.4,50.05,98.92,100,100,95.4,100,99.63,90.03,56.75,100,7.39,4.71,100,100,100,100,94.9,100,96.63,99.52,99.15,84.38,96.29,98.62,100,39.54,14.02,9.03,27.62,76.98,100,76.08,19.64,4.05,1.82,84.79,20,9.51,0.86,4.89,100,90.74,94.94,69.68,15.94,22.7,8.69,72.6,55.85,78.79,58.81,78.96,6.43,100,96.72,22.58,5.63,31.65,14.85,95.99,88.3,92.26,95.43,100,92.76,100,60.91,49.37,100,78.75,100,2.79,86.53,24.57,0.93,76.61,18.45,38.21,8.32,64.87,0,94.28,7.3,10.05,100,100,97.31,93.5,45.56,61.25,67.71,95.46,86.53,100,92.46,100,57.68,7.15,91.04,94.08,97.36,96.94,100,81.19,93.51,89.16,91.09,100,90.14,94.54,96.35,94.02,97.43,94.58,61.3,65.95,100,96.72,59.58,100,100,99.31,99.93,99.6,91.05,63.52,91.49,98.05,94.38,0,5.69,50.16,95.32,99.47,95.49,73.48,62.87,77.56,77.45,81.84,90.81,98.5,96.8,91.08,2.02,23.94,68.46,86.28,100,99.4,100,95.2,44.88,81.67,99.77,98.68,75.74,100,46.3,20.69,85.88,99.25,19.23,31.03,100,93.68,100,55.57,78.46,96.63,6.14,49.99,29.41,54.34,50.72,89.35,70.05,100,79.99,52.26,68.4,2.15,17.99,93.69,99.36,100
PDK1/Akt/Flt Dual Pathway Inhibitor 0.5uM,89.75,89.72,44.94,79.72,55.76,81.23,83.46,100,93.07,100,100,100,89.81,100,71.37,84.73,95.42,10.31,100,79.03,84.9,100,84.77,66.74,90.55,22.16,93.13,83.28,80.4,68.72,83.38,93.94,28.49,84.71,85.15,93,91.13,85.38,74.94,76.86,48.87,47.97,70.33,80.62,73.35,59.91,68.11,46.42,79.1,59.64,9.93,94.07,74.44,96.96,100,54.72,85.8,86.84,80.56,85.15,82.19,80.34,100,76.2,79.43,92.11,81.21,78.26,75.89,84.76,99.68,92.17,83.39,86.48,58.71,84.81,83.76,95.05,81.04,100,88.62,88.52,36.99,73.05,100,81.64,61.06,81.54,100,81.95,92.57,89.47,86.1,90.17,97.09,22.24,50.2,86.96,87.51,87.03,89.09,87.55,24.22,59.36,26.7,57.97,79.76,3.06,100,5.79,11.63,33.88,76.23,79.4,100,100,68.41,74.28,57.97,78.09,88.72,83.49,79.2,83.96,89.01,99.29,100,100,97.9,91.14,71.99,73.35,89.18,32.26,77.56,96.9,86.7,71.48,100,82.55,90.38,78.33,51.94,55,1.95,78.69,70.48,64.99,99.09,84.33,85.55,85.17,40.14,100,76.03,66.86,98.16,94.22,78.06,88.09,88.68,94.69,82.96,100,55.73,91.22,85.66,94.12,88.14,63.33,94.65,68.99,79.34,78.25,91.6,82.64,68.68,72.22,89.39,87.83,97.45,100,91.75,100,88.38,46.3,87.97,77.71,100,96.08,96.28,83.56,100,98.16,83.01,88.61,100,95.57,92.53,85.77,86.31,96.13,96.25,97.12,91.38,93.4,100,73.39,64.47,44.11,11.35,79.01,92.46,96.12,94.08,92.78,93.34,76.62,88.55,91.4,83.1,29.29,100,99.04,49.23,59.32,85.7,86.5,83.44,83.03,99.13,91.69,100,100,100,97.53,77.06,28.6,37.27,28.53,94.3,52.06,76.07,100,100,81.53,94.52,81.7,93.63,91.12,53.07,75.05,89.1,62.34,67.19,75.08,90.42,100,92.42,92.54,6.34,100,95.77,80.54,88.74,100,100,46.64,89.2,94.76,89.85,90.22,91.93,90.85,87,2.44,93.37,4.27,100,76.65,29.41,87.2,74.99,90.82,100,77.21,33.29,100,100,100,90.53,70.86,100,100,89.15,69.78,68.23,96.2,100
PF-3644022 0.5uM,77.01,95.48,93.28,99.3,99.36,100,25.16,98.24,100,100,97.83,94.32,63.3,9.7,78.4,58.53,80.08,28.74,66.72,71.76,95.13,92.37,13.13,14.76,100,100,81.31,65.06,74.76,98.39,96.3,100,92.65,19.73,21.59,34.41,80.55,97.69,94.53,45.95,96.23,83.04,94.72,97.78,100,91.31,99.41,100,97.91,97.43,100,96.68,96.49,63.63,78.79,46.48,48.86,96.79,98.42,76,86.96,82.22,86.34,80.57,18.25,29.3,80.01,25.52,93.03,93.72,96.47,73.36,83.04,97.59,100,100,24.19,8.55,17.89,63.43,26.35,100,98.43,100,100,100,100,96.3,98.93,100,100,97.96,99.8,100,98.37,100,100,99.57,100,100,90.03,98.44,84.95,42.17,84.2,54.87,90.37,98.33,42.13,90.99,100,100,81.68,84.05,95.92,100,59.9,89.25,93.97,98.91,97.96,98.06,84.5,78.06,55.71,97.98,100,97.32,98.56,98.13,91.22,100,82.66,100,95.22,90.45,96.58,100,100,100,98.83,100,99.41,100,94.68,82.74,87.31,90.87,94.35,60.95,0.3,70.18,94.08,2.27,12.93,1.75,96.78,94.12,98.23,95.36,96.94,99.2,97.51,90.93,76.09,62.16,100,70.83,95.04,89.22,89.31,90.09,46.5,30.5,100,99.05,100,97.15,69.82,100,100,71.12,92.23,39.53,1.57,99.8,100,99.13,100,98.54,96.94,97.14,100,74.66,99.58,100,97.84,98.59,98.5,100,73.75,100,95.13,97.44,99.27,100,100,72.41,98.68,95.51,93.28,99.3,55.59,57.3,17.73,91.92,4.12,100,100,94.12,100,94.48,94.87,96.2,100,90.56,100,67.61,65.44,72,97.66,79.68,88.72,95.66,66.95,94.28,100,96.44,100,95.65,98.66,94.92,100,42.88,40.45,95.68,89.93,95.46,100,90.99,84.42,73.41,60.57,66.48,100,94.26,96.39,94.87,98.68,93.79,100,69.44,62.32,98.21,76.08,80.59,37.79,99.81,96.04,96.34,95.03,64.89,100,92.87,92.15,96.34,95.04,99.94,100,97.19,98.43,96.63,90.24,95.6,37.65,87.48,90.74,86.06,97.85,99.45,100,88.61,92.86,79.51,87.53,97.64,96.4,76.97,95.35490517
PP121 0.5uM,4.78,6.15,3.9,88.53,97.61,65.74,32.87,10.86,33.78,7.83,5.39,4,62.49,98.51,95.28,99.28,84.8,85.73,4.33,14.5,9.37,1.46,92.72,98.94,12.59,60.84,84.99,97.87,2.34,94.75,100,99.99,100,93.44,97.28,93.3,100,100,100,86.5,95.35,98.49,89.87,84.31,97.98,100,97.98,90.74,89.06,100,94.93,99.04,99.7,86.79,100,92.59,19.1,8.09,5.33,88.35,96.79,93.21,84.06,98.36,81.97,89.36,98.31,76.24,100,58.98,100,100,100,98.82,14.51,100,98.25,93.29,91.72,94.85,84,94.67,40.41,24.88,32.8,59.74,36.48,38.61,17.12,48.35,57.25,20.1,32.65,22.57,13.69,77.62,65.47,100,90.74,65.75,84.71,88.25,8.35,6.75,31.3,26.15,2.19,20.17,71.16,4.82,27.61,2.31,1.64,16.53,95.59,99.94,100,100,99.45,87.59,81.74,90.15,26.71,6.12,60.45,100,99.15,96.41,96.51,43.79,100,96.39,90.13,47.75,84.21,91.95,31.94,81.11,67.07,53.31,80.53,98.37,88.21,100,5.22,53.81,8.26,36.63,72.25,17.66,12.78,1.87,6.91,100,96.65,99.28,79.91,68.39,78.05,69.64,93.22,69.91,29.54,34.04,11.76,76.73,94.67,71.76,97.06,71.5,76.48,56.99,100,95.13,92.98,91.58,92.31,93.06,100,24.04,32.26,20.42,18.42,91.87,55.98,52.82,67.17,92,74.13,92.73,92.6,100,91.06,32.65,94.13,88.59,99.06,100,99.01,99.81,94.12,92.14,90.02,96.62,85.79,80.31,100,91.2,99.48,46.89,35.62,70.75,94.53,96.72,94.67,95.96,87.6,86.12,89.72,64.01,94.13,71.38,79.67,33.76,43.66,87.61,51.2,27.45,24.57,93.46,60.44,15.83,94.25,93.57,95.31,98.89,96.86,73.47,95.07,87.88,100,64.73,5.33,0,47.58,88.11,51.46,63.94,99.61,72.49,97.49,91.44,92.66,94.21,93.21,98.5,97.03,5.01,15.23,74.92,81.24,100,97.71,90.82,91.1,8.59,79.04,98.8,99.36,90.97,98.1,73.62,79.9,62.99,98.3,57.23,25.03,100,94.84,87.99,89.42,79.39,95.4,8.98,39.16,43.59,84.87,95.93,99.55,100,81.59,94.87,28.97,47.2,1.38,8.09,99.36,97.9,100
Rho Kinase Inhibitor III Rockout 0.5uM,98.8,91.86,96.15,100,96.36,100,100,100,94.67,98.8,100,97.72,94.81,100,78.03,95.94,93.08,99.81,99.59,95.79,94.03,85.51,90.26,98.55,100,93.23,92.99,91.39,99.97,100,98.45,100,98.96,100,90.49,100,92.64,100,100,100,90.64,95.97,99.71,91.71,98.19,100,100,91.99,96.04,97.55,100,96.97,91.21,75.18,100,99.27,100,100,100,79.19,95.04,100,95.01,94.95,100,100,92.56,100,99,100,93.92,97.69,100,98.08,92.57,100,93.01,77.62,90.49,77.45,100,98.7,97.34,100,100,100,100,99.4,100,98.21,100,100,100,99.98,89.72,95.64,83.68,98.94,100,97.66,91.59,100,92.72,100,98.91,84.58,94.53,97.89,91.51,100,100,100,98.69,100,97.73,95.37,94.9,99.24,100,98.37,100,100,62.34,99.53,54.35,97.37,94.06,100,93.8,100,100,100,96.45,90.5,100,100,100,94.78,100,93.84,95.27,100,100,100,94.17,100,100,92.04,90.71,93.71,92.77,100,100,100,97.76,96.14,94.52,100,98.01,94.72,96.46,100,94.86,100,100,84.56,100,96.75,96.2,83.31,100,95.2,75.5,39.18,99.88,100,96.73,90.99,96.03,100,100,93.54,100,78.91,96.43,100,76.91,100,91.61,95.41,93.41,100,100,95.08,97.2,100,100,100,100,79.94,97.81,99.12,83.99,100,96.71,93.8,100,100,97.13,94.96,100,96.57,90.31,100,93.51,100,100,91.61,100,97.4,95.06,89.49,83.22,81.5,84.89,99.37,82.38,95.5,90.68,100,98.26,95.75,64.81,77.66,38.27,66.4,80.81,100,99.9,95.29,54.25,95.35,93.18,97.28,89.91,95.95,84.16,71.86,98.95,81.55,93.82,97.35,88.96,100,93.77,91.02,92.82,90.45,100,100,100,100,100,100,100,100,97.28,100,99.83,98.6,95.45,88.42,92.07,100,93.42,100,100,100,95.84,96.95,100,100,96.9,100,100,100,98.14,83.76,100,82.98,100,89.31,96.88,100,97.06,100,100,100,100
SB 218078 0.5uM,72.66,68.05,2.39,63.9,48.52,27.14,36.91,78.58,85.82,100,100,100,2.09,56.2,22.28,9.52,36.48,38.13,37.68,27.48,100,83.92,14.81,13.56,43.26,60.84,13.63,76.89,69.51,69.74,50.49,33.57,56.53,2.84,9.85,7.03,8.36,98.71,27.21,7.93,61.65,29.86,15.64,28.55,71.48,11.18,22.23,27.97,23.32,6.06,19.91,80.4,15.76,8.52,3.63,13,100,93.77,47.33,96.1,81.83,100,16.74,4.47,43.08,52.12,97.02,20.32,94.63,79.7,91.75,32.66,39.35,89.62,80.13,98.85,8.65,8.74,3.15,5.94,16.58,87.77,78.34,90.12,91.26,96.53,91.44,78.68,63.93,69.21,89.87,80.21,98.38,93.23,75.42,98.38,72.46,100,88.68,23.48,5.39,42.08,29.13,34.11,36.32,70.4,30.86,13.31,0.19,4.97,29.34,100,59.91,3.75,97.92,100,77,88.73,55.58,53.41,2.19,4.6,18.46,24.79,0.99,93.61,32.57,49.89,29.15,63.79,100,97.84,23.86,17.19,37.52,14.04,7.16,8.29,22.22,14.19,1.87,98.53,96.15,100,4.55,2.69,36.21,49.34,50.46,9.25,1.91,35.38,73.59,99.24,93.06,80.43,10.43,4.88,8.53,5.31,29.48,87.94,13.97,18.37,7.13,0.9,19.27,4.01,7.76,8.72,2.66,1.37,48.64,9.71,84.03,100,9.88,12.36,63.63,3.56,3.22,14.25,20.52,25.83,19.07,50.86,60.63,93.76,100,22.03,93.08,99.12,23.41,74.13,92.41,100,100,100,100,2.38,35.01,23.61,43.9,41.67,75.29,64.66,85.4,43.27,39.85,32.83,19.08,10.62,2.75,75.57,0.44,1.86,0.24,44.74,39.81,13.94,22.47,6.42,19.05,28.44,47.62,32.85,86.42,1.89,0,43.17,87.41,2.02,35.65,41.29,6.01,2.68,15.9,50.22,62.39,52.49,17.46,41.51,100,3.21,79.65,45.54,88.7,73.67,87.75,1.6,1.58,2.35,1.33,1.08,23.85,18.57,71.7,33.92,25.97,52,100,88.08,100,58.05,17.7,34.36,12.73,46.19,88.33,15.79,6.06,66.92,57.41,24.47,7.4,100,70.34,94.13,14.11,4.98,6.87,1.41,87.15,22.69,21.81,4.32,55.28,73.13,89.1,33,90.16,16.86,93.57,85.98,31.86,89.7,88.44,24.58,100
SB202190 (FHPI) 2uM,87.19,70.1,46.66,92,94.5,89.33,93.17,76.59,100,71.39,91.66,3.86,98.85,100,98.28,94.09,92.87,97.76,85.32,85.18,5.24,28.83,100,95.7,87.54,100,79.58,86.1,69.32,100,94.04,100,100,96.18,93.58,97.31,100,94.02,100,99.25,96.9,97.77,96.79,94.61,100,95.49,95.88,97.67,98.88,98.75,100,100,99.16,86.89,100,98.59,24.48,5.74,18.86,88.07,86.17,89.52,96.74,96.04,98.6,100,99.22,100,97.94,81.19,98,96.18,100,100,70,97.43,99.88,100,95.84,85.51,86.35,100,42.37,86.7,76.1,95.57,86.94,92,33.18,84.77,95.57,80.18,93.07,83.71,82.33,68.32,71.93,100,98.82,100,97.06,100,96.41,95.94,97.29,97.97,76.01,95.3,96.45,96.22,94.57,100,86.49,92.34,100,100,100,95.47,100,99.63,80.39,34.55,73.48,85.81,51.24,100,98.97,100,95.8,95.75,97.81,97.67,97,100,89.8,95.78,97.27,100,100,96.87,100,65.88,43.06,100,91.84,79.92,61.28,80.73,100,79.94,97.45,73.7,88.74,91.77,99.58,100,98.11,100,100,99.53,94.57,75.83,97.61,90.98,95.5,68.43,100,96.45,95.74,27.92,19.58,19.66,92.7,94.59,90.38,98.46,93.85,94.1,92.75,100,100,91.65,86.34,91.29,82.35,96.45,95.12,100,100,100,100,100,99.52,10.78,93.96,3.71,1.23,92.89,92.23,68.6,78.78,100,100,100,100,100,100,47.89,100,100,93.1,98.27,96.68,98.93,95.39,94.59,96.81,52.19,20.41,89.75,29.32,43.56,88.32,89.9,91.31,88.37,90.34,61.52,48.66,98.52,97.9,39.73,75.95,81.34,89.1,91.98,100,98.93,100,96.99,54.84,95.08,0,64.31,56.15,98.02,79.09,73.18,99,99.53,93.36,93.76,87.93,88.52,98.93,90.04,85.98,48.98,74.51,100,99.52,100,100,94.88,96.06,95.39,97.66,99.43,96.19,97.24,97.67,92.03,90.89,100,95.8,93.1,77.36,97.19,97.7,100,97.53,99.48,99.88,54.94,90.3,96.62,95.55,99.78,100,97.92,93.17,95.8,91.75,88.49,73.73,64.39,95.07,100,100
Staurosporine 0.5uM,23.01,5.25,2.17,7.49,5.51,2.97,0.86,83.74,91.87,100,100,100,1.59,4.72,2.43,4.3,5.21,13.27,1.57,6.22,100,32.6,0.52,3.53,7.82,8.67,2.63,32.74,1.46,2.22,4.82,0.89,4.71,0.47,1.64,3.05,0.7,34.82,0,0.24,2.7,10.22,0.25,8.5,8.24,5.05,15.98,2.78,1.92,1.02,11.71,43.78,9.24,1.38,1.63,1.33,79.71,91.23,78.21,91.45,75.74,96.05,87.9,66.62,11.88,3.71,85.99,6.62,100,8.01,75,3.55,4.07,11.03,3.83,4.83,3.12,4.6,0.85,69.87,31.33,96.16,32.45,31.03,21.33,13.99,6.7,9.28,5.57,11.52,25.67,11.97,27.6,75.16,37.57,35.87,48.8,97.21,97.45,4.34,0.82,4.11,1.71,3.25,3.69,47.2,0.27,7.88,1.12,4.29,1.76,5.5,3.59,0.53,56.82,50.31,20.52,20.79,7.36,0.74,5.78,4.4,6.94,3.26,1.91,96.48,84.68,100,55.34,14.78,40.33,53.43,0.3,3.14,7.47,3.46,1.71,2.89,2.07,1.85,0.74,100,100,100,4.46,0.46,1.84,5.51,18.65,0.28,1.01,1.18,5.72,40.4,85.14,45.97,0.21,0.02,0.72,0,3.83,8.43,1.25,5.41,0.97,1.57,15.22,2.18,7.59,7.1,3.26,1.09,20.33,5,1.75,1.99,1.24,6.74,79.63,0,1.11,1.6,4.43,12.21,2.77,3.99,37.02,79.9,91.92,46.8,88.63,95.78,27.18,20.53,14.2,100,98.83,86.64,100,0.14,4.7,1.59,0.68,2.37,4.95,2.34,4.74,3.74,27.77,2.11,2.28,4.41,1.43,3.42,1.47,10.4,0.63,1.93,3.05,1.23,4.13,3.03,5.61,0.8,0.41,0,4.59,1.42,0.98,2.81,21.98,1,5.01,3.31,7.12,0.15,2.96,36.88,94.75,37.79,3.5,2.71,100,0.64,46.96,18.72,0.61,0.72,44.75,0.86,3.52,0,1.61,1.67,8.59,7.77,23.47,0.14,1.83,20.35,100,17.84,40.95,48.4,1,3.22,10.67,10.02,8,4.66,7.96,0.93,1.02,2.11,0,91.13,100,22,2.83,0.77,0.37,0.99,1.18,7.33,0.54,1.85,7.27,3.27,2.7,1.82,84.12,73.1,93.14,73.62,4.48,98.32,5.36,1.91,23.49303326
"TCS ERK 11e (ERK Inhibitor VIII, VX-11e) 0.5uM",99.25,97.07,82.26,99.02,100,100,90.68,96.66,89.66,88.86,99.03,99.71,71.46,89.96,93.47,100,90.08,93,95.95,90.33,88.24,100,98.16,93.61,92,95.02,92.04,88.04,94.69,98.32,96.84,98.41,91.04,97.98,93.63,94.34,100,93.31,100,34.15,91.57,94.49,80.53,84.11,88.19,81.83,90.79,63.18,68,87.61,85.15,97.9,100,97.5,80.11,54.35,98.98,94.03,100,90.09,94.06,98.24,92.97,91.98,100,96.91,100,98.09,98.94,94.77,95.06,93.25,100,98.26,100,100,87.52,96.39,94.38,96.16,99.66,100,97.03,98.21,95.85,98.41,100,95.49,89.75,94.28,97.36,96.64,96.34,85.86,91.16,98.86,100,0.56,0.41,97.03,88.95,90.05,99.43,100,100,93.88,92.07,98.06,79.49,99.27,87.28,100,90.63,96.95,94.06,91.16,100,100,100,93.79,86.63,93.81,94.8,100,90.61,100,94.47,100,93.38,94.95,100,96.9,98.98,98.62,100,98.92,91.62,99.67,98.03,100,99.65,93.28,91.22,100,98.64,100,87.1,100,100,92.43,91.85,89.96,99.42,100,100,100,98.73,98.02,99.01,100,99.48,92.28,97.57,93.55,92.34,86.85,99.37,96.45,91.38,94.14,100,84.24,100,95.96,100,97.83,100,97.8,100,90.58,100,100,88.9,98.08,100,90.55,89.68,100,99.43,96.17,100,100,100,91.65,96.38,100,99.95,100,100,93.59,99.38,98.78,100,95.17,95.15,94.52,99.23,66.14,90.68,100,92.74,97.65,95,93.66,98.27,99.9,100,100,100,99.68,100,100,92.98,98.16,97.6,99.75,98.74,77.04,72.79,88.57,93.7,77.76,100,86.94,100,90.29,95.82,98.98,85.67,97.78,87.17,66.74,100,100,79.43,100,100,100,95.93,100,95.34,95.87,93.58,99.03,90.14,71.82,100,96.44,100,94.08,97.76,100,100,100,94.07,89.84,93.5,88.54,99.1,92.65,100,97.89,100,100,94.8,95.01,100,100,100,97.83,97.91,94.05,93.15,92.67,96.92,95.13,100,100,92.3,91.34,100,81.98,99.39,88.97,95.27,98.2,94.96,100,98.05687251
"Vargatef (Nintedanib, BIBF 1120) 0.5uM",6.16,8.71,21.36,99.09,100,96.25,6.61,27,56.89,82.61,67.6,100,7.09,96.97,41.54,36.34,42.88,16.05,2.15,4.77,99.68,39.12,69.5,76.49,1.83,27.85,18.12,92.89,2.5,46.16,53.59,22.82,66.2,28.33,76.98,40.36,86.2,93.96,63.1,75.01,100,98.86,95.85,96.24,98.52,85.6,85.63,93.9,100,37.9,91.74,88.12,100,100,21.71,72.81,97.31,99.35,86.67,93.63,98.9,98.7,90.12,94.04,82.14,98.55,98.57,68.29,100,28.49,100,85.52,83,92.2,4.39,94.46,55.58,100,57.82,99.23,97.42,96.29,89.47,68.91,46.57,84.31,61.39,68.89,20.65,71.35,84.06,9.58,36.99,78.94,20.61,75.7,93.08,100,96.66,56.84,3.81,12.84,6.16,5.15,10.58,59.08,4.57,8.57,6.22,0.61,2.66,65.87,4.06,91.07,96.91,100,92.39,81.92,60.02,84.6,81.83,61.66,96.97,11.11,12.34,100,97.49,87.98,96.84,20.91,100,97.62,29.88,14.8,86.24,85.81,2.49,32.02,83.29,10.92,5.49,87.35,91.09,100,1.71,14.45,3.61,84.05,100,12.8,13.74,1.89,7.93,94.53,98,96.62,67.56,48.06,70.97,48.34,63.64,60.77,39.23,26.61,2.49,18.57,100,16.79,68.2,28.91,75.48,40.71,100,97.07,99.77,98.81,50.18,87.2,100,7.66,34.41,7.14,6.76,80.41,36.84,98.72,95.55,100,100,97.69,91.39,100,96.78,91.54,96.47,76.69,90.49,100,98.25,85.83,97.74,88.26,92.56,95.86,94.95,91.83,100,96.22,92.68,3.24,2.77,88.34,71.41,81.61,68.84,90.83,82.88,92.05,99.66,89.14,99.1,89.53,99.19,92.17,94.03,91.82,95.16,77.73,84.93,100,99.32,83.68,67.88,64.85,92.34,85.9,94.33,97.42,100,96.21,94.83,87.72,100,0,77.67,96.35,93.96,95.89,98.52,36.41,27.17,43.94,26.51,39.4,93.73,91.98,100,1.14,49.35,28.01,93.89,100,100,56.78,26.45,7.52,60.46,100,96.46,91.85,22.3,89.29,91.41,100,33.4,40.92,100,32.27,98.47,11.36,6.2,2.55,95.72,11.57,32.92,25.21,33.04,80.79,94.93,83.65,99.14,92.75,96.65,78.96,0.9,43.15,98.73,65.78,100
WZ3146 0.5uM,35.5,46.01,64.16,98.63,100,97.55,76.05,95.59,100,100,96.66,98.45,5.66,95.64,3,20.65,22.86,52.3,1.04,0.8,100,73.65,93.71,95.08,2.16,90.03,91.94,86.5,48.84,93.34,96.58,87.1,98.46,92.53,91.73,88.92,98.8,100,92.87,58.89,92.26,97.78,82.18,83.44,88.44,56.49,57.27,87.25,89.28,69.96,82.22,82.24,99.24,71.21,70.93,32.54,100,100,93.86,100,90.7,98.02,32.17,44.9,70.17,87.9,92.52,66.85,99.04,92.76,100,94.19,97.98,83.76,86.38,91.48,34.29,91.51,75.65,80.75,69.34,95.08,0.61,97,98.88,96.02,97.66,100,95.6,84.51,96.65,89.21,96.81,94.84,94.52,2.66,2.89,97.77,95.53,34.43,35.54,28.85,39.52,37.6,59.93,86.37,55.95,66.92,4.81,32.56,19.38,100,72.06,85.45,99.99,100,99.41,98.59,98.71,96.34,88.41,86.77,97.91,92.4,92.97,44.9,97.12,76.36,73.9,56.27,100,98.77,94.43,86.33,62.4,89.16,44.78,1.26,65.44,25.53,0.42,66.28,83.81,100,50.55,100,46.02,72.14,96.47,82.32,51.97,76.86,88.03,95.26,100,100,58.43,42.43,42.88,34.19,98.58,95.67,99.92,95.08,61.55,92,92.63,95.19,79.96,16.25,50.1,36.26,96.8,92.26,100,96.18,77.6,87.47,100,90.14,100,87.78,100,80.1,89.88,86.28,79.68,92.13,78.22,94.7,100,100,74.87,85.38,94.19,95.88,100,94.52,98.48,90.15,94.63,81.79,89.74,83.61,82.64,46.42,100,95.45,95.96,100,75.5,92.88,67.41,93.02,98.18,96.9,91.39,86.07,97.41,81.14,98.13,94.43,96.17,97.11,98.56,99.4,98.65,67.57,54.35,100,96.66,65.43,94.62,81.29,94.72,97.73,94.2,94.92,94.32,93.1,92.71,73.78,100,8.8,90.44,81.66,94.13,100,95.74,16.13,83.78,66.56,72.95,70.49,93.17,65.22,100,39.3,92.23,27.75,96.5,100,100,43.88,71.85,100,50.27,97.35,98.91,65.95,72.89,70.06,55.65,85.46,88.82,16.6,100,79.89,100,40.18,35.37,30.29,96.58,4.9,87.79,43.28,86.83,72.95,92.18,87.28,100,99.18,98.51,90.54,24.63,15.75,100,95.62,100
