compound,ABL1,ABL2_ARG,ACK1,AKT1,AKT2,AKT3,ALK,ALK1_ACVRL1,ALK2_ACVR1,ALK4_ACVR1B,ALK5_TGFBR1,ARAF,ARK5_NUAK1,ASK1_MAP3K5,AURORA_A,AURORA_B,AURORA_C,AXL,BLK,BMX_ETK,BRAF,BRK,BRSK1,BRSK2,BTK,C_KIT,C_MER,C_MET,C_SRC,CAMK1A,CAMK1B,CAMK1D,CAMK1G,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CDK1_CYCLIN_A,CDK1_CYCLIN_B,CDK2_CYCLIN_A,CDK2_CYCLIN_E,CDK3_CYCLIN_E,CDK4_CYCLIN_D1,CDK4_CYCLIN_D3,CDK5_P25,CDK5_P35,CDK6_CYCLIN_D1,CDK6_CYCLIN_D3,CDK7_CYCLIN_H,CDK9_CYCLIN_K,CDK9_CYCLIN_T1,CHK1,CHK2,CK1A1,CK1D,CK1EPSILON,CK1G1,CK1G2,CK1G3,CK2A,CK2A2,CLK1,CLK2,CLK3,CLK4,COT1_MAP3K8,CSK,CTK_MATK,DAPK1,DAPK2,DCAMKL2,DDR2,DMPK,DRAK1_STK17A,DYRK1_DYRK1A,DYRK1B,DYRK2,DYRK3,DYRK4,EGFR,EPHA1,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHA8,EPHB1,EPHB2,EPHB3,EPHB4,ERBB2_HER2,ERBB4_HER4,ERK1,ERK2_MAPK1,FAK_PTK2,FER,FES_FPS,FGFR1,FGFR2,FGFR3,FGFR4,FGR,FLT1_VEGFR1,FLT3,FLT4_VEGFR3,FMS,FRK_PTK5,FYN,GCK_MAP4K2,GRK2,GRK3,GRK4,GRK5,GRK6,GRK7,GSK3A,GSK3B,HASPIN,HCK,HGK_MAP4K4,HIPK1,HIPK2,HIPK3,HIPK4,IGF1R,IKKA_CHUK,IKKB_IKBKB,IKKE_IKBKE,IR,IRAK1,IRAK4,IRR_INSRR,ITK,JAK1,JAK2,JAK3,JNK1,JNK2,JNK3,KDR_VEGFR2,KHS_MAP4K5,LCK,LIMK1,LKB1,LOK_STK10,LRRK2,LYN,LYN_B,MAPKAPK2,MAPKAPK3,MAPKAPK5_PRAK,MARK1,MARK2_PAR_1BA,MARK3,MARK4,MEK1,MEK2,MEKK2,MEKK3,MELK,MINK_MINK1,MKK6,MLCK_MYLK,MLCK2_MYLK2,MLK1_MAP3K9,MLK2_MAP3K10,MLK3_MAP3K11,MNK1,MNK2,MRCKA_CDC42BPA,MRCKB_CDC42BPB,MSK1_RPS6KA5,MSK2_RPS6KA4,MSSK1_STK23,MST1_STK4,MST2_STK3,MST3_STK24,MST4,MUSK,MYO3B,NEK1,NEK11,NEK2,NEK3,NEK4,NEK6,NEK7,NEK9,NLK,OSR1_OXSR1,P38A_MAPK14,P38B_MAPK11,P38D_MAPK13,P38G,P70S6K_RPS6KB1,P70S6KB_RPS6KB2,PAK1,PAK2,PAK3,PAK4,PAK5,PAK6,PASK,PBK_TOPK,PDGFRA,PDGFRB,PDK1_PDPK1,PHKG1,PHKG2,PIM1,PIM2,PIM3,PKA,PKACG,PKCA,PKCB1,PKCB2,PKCD,PKCEPSILON,PKCETA,PKCG,PKCIOTA,PKCMU_PRKD1,PKCNU_PRKD3,PKCTHETA,PKCZETA,PKD2_PRKD2,PKG1A,PKG1B,PKG2_PRKG2,PKN1_PRK1,PKN2_PRK2,PLK1,PLK2,PLK3,PRKX,PYK2,RAF1,RET,RIPK2,RIPK5,ROCK1,ROCK2,RON_MST1R,ROS_ROS1,RSK1,RSK2,RSK3,RSK4,SGK1,SGK2,SGK3_SGKL,SIK2,SLK_STK2,SNARK_NUAK2,SRMS,SRPK1,SRPK2,STK16,STK22D_TSSK1,STK25_YSK1,STK33,STK38_NDR1,STK39_STLK3,SYK,TAK1,TAOK1,TAOK2_TAO1,TAOK3_JIK,TBK1,TEC,TGFBR2,TIE2_TEK,TLK2,TRKA,TRKB,TRKC,TSSK2,TXK,TYK1_LTK,TYK2,TYRO3_SKY,ULK1,ULK2,ULK3,VRK1,WEE1,WNK2,WNK3,YES_YES1,ZAK_MLTK,ZAP70,ZIPK_DAPK3,response
Y-39983 dihydrochloride 0.5uM,96.87,95.94,76.51,82.08,95.05,90.52,84,92.66,100,100,99.92,97.56,80.77,88.59,100,93.81,94.66,92.08,97.25,92.83,100,94.2,89.45,79.05,94.68,98.5,93.11,97.33,95.14,96.68,100,98.96,100,82.52,83.83,77.31,98.71,92.56,99.39,99.77,82.3,83.45,81.69,86.77,89.2,98.18,92.41,92.85,88.71,98.3,92.25,93.27,89.89,57.89,89.85,80.38,81.39,99.46,100,68.62,80.21,83.46,95.48,90.35,30.43,50.95,98.7,30.4,100,90.5,99.25,98.22,100,91.6,100,95.49,91.82,72.78,35.6,80.76,87.77,100,100,100,100,99.52,97.85,97.39,96.75,98.64,97.5,100,100,100,96.51,92.43,100,99.03,99.23,92.93,84.96,97.29,100,98.83,97.64,95.94,92.85,93.53,70.28,95.27,100,94.51,92.95,80.7,98.95,100,100,89.26,96.9,93.62,99.6,100,91.08,100,66.07,92.1,100,100,91.65,95.64,100,82.16,81.18,97.08,94.1,99.34,97.95,100,90.58,92.62,100,98.37,95.48,100,93.63,92.79,97.31,94.1,89.42,79.41,16.86,88.54,100,94.39,100,100,86.72,92.58,97.97,98.37,96.26,93.08,97.42,90.82,82.77,77.49,88.79,91.99,95.54,76.72,81.87,92.8,38.45,67.5,43.38,28.08,88.96,84.35,100,97.59,98.09,85.25,92.91,57.59,86.31,100,100,100,90.07,98.61,83.24,100,100,93.62,96.43,96.39,100,100,95.56,87.54,92.47,94.56,99.23,94.43,99.02,99.61,100,82.42,55.25,97.04,94.2,86.68,89.78,96.67,95.03,100,94.24,64.93,89.69,83.18,100,93.66,6.82,8.44,4.94,89.29,95.22,45.22,40.83,53.21,96.27,58.61,63.48,77.16,48.75,43.68,66.9,99.41,100,96.17,66.11,99.4,100,91.71,84.4,97.72,0.75,1.44,96.36,80.16,81.4,73.89,56.73,71.57,99.59,98,98.81,68.88,100,56.78,97.68,100,100,95.55,86.65,92.55,73.78,96.2,97.45,98.8,88.79,83.66,100,94.52,90.24,94.48,100,100,97.47,94.18,89.33,70.33,100,94.81,64.33,89.63,100,63.11,94.58,89.08,42.14,100,95.35,96.5,100,100,97.69,95.94,99.27032653
"Dovitinib (TKI-258, CHIR-258) 0.5uM",49.8,72.82,92.83,99.06,100,97.74,88.84,98.35,100,100,100,100,23.39,100,95.83,74.24,96.2,88.6,35.63,86.12,96.84,99.72,86.12,93.84,84.78,77.75,90.44,91.89,53.35,100,98.54,96.52,100,80.59,100,86.98,100,98.98,93.29,100,93.79,98.3,97.08,92.97,95.91,94.23,96.96,100,98.35,96.18,78.36,100,100,99.41,61.17,100,97.24,99.3,100,100,99.92,100,95.14,94.77,96.07,100,97.13,92.55,100,96.21,100,100,100,95.25,93.03,92.6,94.61,100,95.25,100,100,100,98.66,100,100,98.96,100,100,88.44,100,100,89.84,98.85,98.64,93.13,95.46,100,100,97.44,100,88.99,97.62,52.9,46.08,47.82,92.24,23.69,62.41,2.53,54.31,50.17,94.04,51.6,93.64,100,100,100,88.5,99.79,98.03,98.35,100,97.1,84.22,32.37,88.93,98.2,100,98.94,92.6,92.27,94.36,80.47,96.12,91.23,87.34,95.83,93.96,100,94.93,93,99.94,96.1,100,70.53,19.29,40.07,100,100,88.18,78.44,29.69,56.25,98.75,100,100,75.19,76.03,78.21,68.94,90.08,70.31,98.71,84.29,43.6,34,98.02,97.18,12.24,77.07,89.54,77.05,96.85,97.06,99.86,97.62,87.49,89.31,100,45.04,100,79.6,100,100,100,100,100,96.41,100,100,100,100,88.89,95.07,91.6,98.97,100,99.69,100,93.39,94.49,100,100,97.36,100,100,100,97.44,100,73.68,60.36,94.32,78.89,98.88,92.15,94.48,98.35,100,99.92,100,98.62,100,95.97,96.75,99.61,88.87,98.32,93.23,94.9,96.84,100,93.25,83.41,97.22,93.67,80.44,95,100,98.32,99.85,95.81,100,100,9.11,100,100,95.46,97.84,100,100,69.34,72.56,51.96,66.55,88.99,88.21,93.13,72.38,100,67.77,100,100,99.94,100,86.59,92.68,84.5,100,100,96.67,83.84,100,100,92.8,84.3,96.25,100,96.65,100,32.56,24.73,5.61,97.85,96.73,100,89.8,66.58,73.5,92.65,95.01,98.8,100,91.06,100,26.14,100,94.49,100,85.14632348
LY2157299 0.5uM,89.79,96.81,97.33,95.8,94.14,100,90.47,91.39,91.44,27.42,28.43,59.83,96.99,93.03,100,100,98.91,93.31,96.77,88.19,70.62,97.01,99.17,95.19,90.75,99.34,86.32,82.85,90.66,100,95.69,97.4,89.16,98.4,97.12,96.1,96.64,85.64,99.03,90.55,93.83,97.54,94.8,94.7,93.55,97.21,100,96.13,100,99.98,99.57,99.17,100,97.2,85.53,98.47,80.9,73.51,82.98,87.81,95.32,88.37,89.4,95.18,100,100,100,100,98.84,89.1,89.75,100,100,100,100,100,100,100,99.38,100,100,100,94.41,95.09,93.82,93.04,100,94.86,83.87,98.17,97.21,96.42,96.83,86.28,89.69,96.77,95.94,100,98.56,100,87.21,91.66,98.41,100,100,92.04,88.76,93.39,86.14,98.7,83.33,97.71,80.79,91.33,99.51,99.46,100,100,100,94.99,93.12,82.46,100,99.5,35.44,100,99.43,100,99.41,89.6,100,99.81,97.44,97.65,99.35,95.86,95.82,100,98,100,100,97.06,94.77,100,92.61,81.86,83.95,100,100,94.74,100,84.36,94.36,94.16,100,100,95.21,98.45,100,99.86,100,93.85,83.4,100,94.73,39.66,92.8,95.2,94.25,95.13,96.28,80.59,67.05,96.99,100,100,100,100,98.35,95.4,100,93.69,96.11,98.64,100,91.7,94.88,100,100,97.8,98.61,100,100,30.3,91.19,43.4,83.6,100,100,97.19,100,98.3,100,100,96.41,100,97.25,95.31,98.33,100,91.28,98.39,95.08,100,98.88,100,100,100,100,100,100,100,97.19,100,97.36,94.74,95.06,91.37,87.08,86.11,99.47,87.53,89.27,81.76,100,88.49,66.43,97.44,98.05,92.54,97.72,95.49,57.79,98.22,53.58,91.43,99.55,100,100,98.7,99.47,95.34,95.47,100,96.14,97.24,97.28,97.55,98.71,97.6,100,100,100,100,95.51,100,96.6,98.35,97.13,96.76,100,99.37,100,95.43,97.28,92.31,68.71,99.62,96.36,98.56,96.22,98.41,100,94.71,98.34,96.8,100,97.68,94.84,94.24,100,96.75,99.18,94.11,85.81,69.01,94.69,100,100
Go 6983 0.5uM,100,77.68,77.9,98.98,100,63.71,96.02,87.81,97.97,100,100,95.53,32.16,95.11,86.58,88.55,90.35,98.7,78.8,96.3,93.97,91.99,81.87,61.31,90.2,88.8,83.96,85.58,79.8,90.24,100,73.27,95.02,100,89.93,74.84,91.15,90.32,94.85,81.96,95.65,94.42,100,97.9,78.82,78.57,95.46,100,81.4,63.97,84.96,88.02,54.58,69.74,88.77,38.76,62.29,92.02,86.38,84.09,82.24,77.8,95.94,99.28,48.24,77.95,43.62,32.77,93.85,83.99,99.26,100,81.12,84.76,100,97.73,83.95,84.7,79.96,92.36,80.97,97.27,92.56,76.17,91.34,94.08,94.48,87.17,100,88.83,100,91.66,78.68,96.97,94.19,100,93.4,92.98,100,88.23,70.93,100,58.95,90.71,87.46,79.19,100,22,23.17,23.56,92.85,91.31,100,56.26,99,96.33,92.78,100,96.16,100,14.04,31.98,93.49,100,37.75,77.75,96.27,74.11,100,100,96.5,99.63,100,94.06,89.01,91.17,100,70.38,100,97.47,100,79.96,86.14,88.78,40.72,27.67,93.58,81.77,100,31.66,86.98,100,94.17,99.68,92.29,98.1,93.23,91.78,92.15,95.95,85.02,100,80.58,82.84,70.71,78.58,91.6,66.92,95.99,57.56,83.44,75.56,92.84,81.14,89.22,89.45,61.28,78.57,89.51,65.19,72.22,36.59,40.4,53.49,100,94.69,91.58,99.72,98.27,90.68,100,99.07,90.27,87.87,97.7,100,96.68,100,84.8,19.72,65.39,87.41,100,100,94.75,67.63,70.37,83.82,96.84,85.18,75.78,76.7,66.36,98.3,11.63,90.51,5.01,77.86,100,3.14,19.29,14.25,1.67,14.64,6.85,54.02,67.62,68.85,91.93,4.5,78.23,92.29,99.51,79.43,60.67,34.72,94.98,100,100,93.01,100,100,99.27,79.87,70.22,82.84,93.5,89.19,91.33,52.39,15.99,6.55,5.46,4.52,99.52,92.59,100,100,69.42,80.96,95.86,100,88.05,93.06,80.28,55.65,56.21,100,100,68.48,100,99.46,80.78,78.21,90.71,97.88,100,100,100,83.14,88.09,54.89,85.45,82.75,81.93,100,90.71,99.02,96.13,100,76.71,85.1,96.49,92.01,90.39,95.89,90.28,75.47,100
NVP-TAE684 0.5uM,24.24,20.66,2.53,97.45,97.69,100,0,11.31,15.98,28.8,47.21,89.41,2.64,91.43,0,11.5,12.88,5.4,10.63,51.17,84.68,2.5,8.9,16.73,28.46,49.07,5.44,62.44,16.09,77.21,74.29,53.14,80.1,1.54,7.6,4.41,31.03,88.56,32.7,5.66,52.01,53.33,62.69,59.76,70.7,56.36,43.22,33.06,24.17,47.93,66.68,39.69,99.25,92.1,9.52,0.39,97.58,94.63,97.97,90.69,97.33,92.36,95.43,94.84,5.88,7.97,76.58,19.2,88.02,44.64,100,88.91,94.43,20.05,34.53,100,94.8,80.98,68.81,93.4,96.43,100,34.59,15.73,55.81,86.47,42.08,72.66,20.64,19.48,98.95,8.75,64.78,68.14,46.09,41.91,22.3,89.17,91.82,0.77,0,0.9,7.01,4.77,12.07,15.53,12.83,27.31,1.04,5.51,15.16,8.93,29.33,55.84,93.59,94.02,60.91,71.65,44.34,69.67,92.76,94.07,96.56,22.1,43.25,100,100,100,83.18,2.13,98.4,100,91.38,1.25,17.63,29.19,0.69,68.56,48.3,15.88,13.17,39.73,61.71,100,30.3,14.92,15.94,33.55,81.01,11.43,1.08,16.04,32.53,97.74,99.41,100,4.58,1.44,3.13,2.4,97.02,89.33,86.01,86.64,32.02,47.22,93.06,70.21,98.77,17.31,53.63,57.34,94.62,59.1,99.4,88.62,78.47,86.34,72.72,25.78,60.59,52.72,61.4,85.34,2.77,49.15,91.49,75.35,94.75,72.55,79.9,84.97,6.85,88.2,33.9,92.12,86.32,100,100,90.56,51.78,43.65,61.99,57.95,85.11,52.93,92.45,90.78,94.91,43.34,52.23,90.48,4.25,5.38,96.79,100,100,75.63,92.22,88.34,90.35,82.13,87.67,83.25,96.25,94.16,95.74,14.64,11.95,81.39,100,10.95,35.81,40.88,80.49,45.04,66.22,11.82,84.15,15.74,84.13,1.35,92.92,16.44,72.97,71.84,39.57,53.21,79.79,0,3.89,1.75,1.36,5.77,99.81,96.47,93.46,4.84,10.52,3.78,100,70.22,81.36,79.49,0.21,60.27,54.57,91.35,46.51,48.71,82.84,6.66,52.52,42.09,69.99,65.53,67.66,7.88,95.17,34.53,19.51,18.41,8.16,30.6,2.22,22.17,45.91,4.06,6.73,10.55,70.65,92.78,100,86.93,1.75,94.72,90.36,87.6,81.82801235
SU6656 0.5uM,44.265,54.535,11.815,96.07,99.12,96.75,40.48,100,99.325,100,97.635,99.81,13.61,99.365,12.965,11.13,29.945,27.065,11.635,96.16,94.58,59.35,29.805,41.04,95.455,67.185,19.905,92.675,22.605,100,96.745,99.405,98.57,57.665,67.25,66.005,95.275,94.515,65.125,22.34,65,64.71,86.735,85.705,95.905,100,94.365,70.345,72.28,96.26,90.105,65.45,98.265,95.795,82.325,53.16,95.845,99.83,99.5,95.2,96.88,100,99.11,92.055,76.735,36.555,90.09,49.27,97.32,90.26,100,100,96.76,76.475,98.16,99.145,98.965,76.89,85.89,97.705,98.935,99.1,96.13,97.255,97.7,97.79,89.01,92.55,68.1,92.415,99.5,80.66,97.57,99.32,86.86,98.725,100,100,99.935,29.3,51.61,65.88,74.01,42.105,60.485,93.315,15.615,89.57,11.97,80.05,36.055,90.075,30.29,22.315,96.68,98.055,89.925,92.665,84.24,79.42,98.93,97.805,97.905,28.89,47.855,98.605,99.095,100,98.005,91.345,98.315,98.865,84.67,93.05,4.99,51.06,89.705,61.175,63.885,38.04,64.585,93.75,98.09,100,95.13,3.01,34.02,60.28,95.215,15.145,2.325,16.465,39.16,99.415,100,99.875,53.11,57.87,66.08,51.36,87.715,84.31,47.92,50.635,87.455,68.505,97.31,95.185,98.965,73.79,96.845,66.93,97.88,88.91,95.14,98.765,98.96,95.525,80.32,17.965,24.87,45.78,41.15,86.04,93.425,95.34,89.705,94.205,99.08,94.655,95.365,100,94.485,95.8,91.115,99.105,100,100,99.81,94.535,94.075,97.495,95.685,97.14,98.775,100,99.455,96.185,99.86,88.655,95.85,97.765,75.02,76.2,98.905,100,99.21,97.265,99.53,97.46,99.175,92.01,94.755,97.06,88.85,88.855,94.85,97.525,91.035,100,98.19,100,89.8,88.765,97.975,90.57,86.74,99.355,96.28,95.575,97.905,59.125,98.87,6.405,94.43,97.715,88.74,84.01,96.13,82.45,69.035,66.09,53.7,67.12,98.365,100,97.365,77.795,19.595,66.645,98.34,59.605,48.255,100,63.56,66.88,77.765,96.96,98.84,77.655,89.87,75.74,89.34,58.43,87.19,95.915,98.38,97.685,96.465,27.755,13.715,2.93,94.835,94.585,63.375,10.31,52.28,4.9,21.535,37.33,96.63,95.36,97.84,98.23,12.63,99.68,94.93,97.175,100
MGCD-265 0.5uM,13.78,28.84,0,98.36,100,98.39,80.83,81.19,99.45,100,95.09,85.37,100,100,24.6,28.19,71.4,2.34,5.13,11.58,96.45,6.73,100,100,36.03,33.29,1.74,3.48,7.38,100,97.85,98.21,99.33,100,95.87,99.84,100,97.59,85.1,71.64,92.2,96.07,99.86,98.16,100,100,99.57,97.71,100,96.84,98.4,100,100,96.2,99.31,87.22,100,100,99.01,96.35,100,100,95.24,98.04,100,99,99.34,89.69,100,58.56,100,94.99,100,100,4.05,100,99.18,100,97.78,100,97.76,100,98.07,59.2,50.93,52.02,64.41,53.39,15.29,18.61,55.28,67.45,47,98.76,39.06,100,90.36,100,99.9,100,23.14,25.16,84.31,66.71,84.98,96.65,4.31,57.36,5.45,41.76,12.64,32.63,27.94,75.35,99.81,100,100,92.82,100,100,99.45,98.09,99.69,4.28,9.54,100,98.69,100,47.35,98.23,96.39,99.86,87.25,85.01,94.35,98.87,86.47,62.99,100,99.43,100,96.18,97.7,100,25.25,3.65,1.6,50.48,100,47.36,61.81,9.5,15.62,96.43,98.92,100,95.39,99.47,100,94.84,62.42,49.73,88.8,99.22,99.3,4.36,100,100,83,20.12,82.93,33.52,86.7,29.74,98.73,100,100,93.35,98.27,93.69,100,90.28,96.53,96.67,56.35,100,100,97.85,100,100,100,100,100,96.65,95.13,96.85,100,98.43,100,92.27,99.91,100,99.87,100,100,100,100,98.64,98.61,7.55,14.26,99.5,97.22,98.13,99.12,99.58,100,97.24,100,98.31,97.66,99.36,99.04,99.48,100,91.25,98.59,94.44,98.09,100,99.28,96.51,98.64,96.03,98.54,98.5,99.18,97.86,100,98.45,99.96,93.98,79.36,15.49,94.45,96.92,93.78,97.38,39.03,30.53,100,100,97.99,98.19,100,100,95.55,98.04,32.98,97.52,68.89,100,100,100,97.05,100,100,98.14,93.6,59.79,88.7,97.08,100,97.4,91.01,78.3,100,34.56,100,14.01,15.7,19.24,100,31.37,78.37,95.44,9.74,100,100,92.19,100,100,59.87,85.12,14.4,50.56,96.46,100,100
Met Kinase Inhibitor (SU11274) 0.5uM,76.93,62.075,56.845,94.59,100,99.71,78.04,98.845,98.34,100,99.135,100,16.695,100,22.815,18.83,33.435,39.8,36.36,92.725,95.94,93.38,91.515,91.795,92.155,55.74,17.53,0.905,52.53,93.465,99.685,94.615,96.24,68.68,89.8,66.52,97.41,97.25,94.66,77.62,86.865,89.34,95.265,89.18,93.605,91.58,92.64,83.595,92.545,90.75,85.085,38.25,94.885,94.06,84.15,85.12,83.175,83.955,77.175,99.03,97.26,96.655,88.7,90.34,68.56,7.99,67.105,38.485,90.86,82.765,100,98.655,99.425,90.555,88.555,100,96.93,84.885,93.515,98.675,100,94.815,98.055,100,95.995,97.74,81.595,92.205,30.625,79.61,92.73,85.655,93.675,99.3,91.815,93.71,100,100,91.595,94.17,79.075,93.195,79.515,65.77,74.835,100,30.08,76.05,24.175,63.325,61.43,94.44,59.92,60.09,99.81,99.02,100,94.96,90.34,73.38,94.285,98.05,97.74,59.58,35.19,94.145,100,96.745,96.8,99.695,97.14,99.21,73.905,96.375,51.21,69.595,93.355,82.965,62.105,28.71,34.935,93.47,88.425,99.515,72.925,5.225,27.535,82.1,94.95,11.615,4.23,34.875,53.555,99.79,98.47,88.8,52.225,36.395,40.02,33.385,74.425,70.08,75.91,65.94,72.32,50.565,95.95,87.385,77.18,87.99,78.355,76.1,99.31,99.035,99.185,98.84,92.085,95.575,92.385,50.385,73.69,53.015,65.555,88.32,67.485,18.165,96.24,41.87,99.33,74.285,100,95.165,92.62,96.915,96.52,92.775,100,100,99.91,84.12,99.08,89.755,95.285,92.16,98.43,93.995,100,97.115,100,76.74,82.41,98.4,48.99,92.77,99.89,99.97,96.755,100,99.66,92.9,96.005,95.5,94.1,98.655,92.52,92.15,99.355,62.465,47.38,99.735,95.47,58.965,91.545,92.69,98.585,88.305,81.775,97.635,90.255,96.255,96.64,58.76,100,19.785,93.58,98.18,76.32,55.365,91.65,65.05,59.785,68.02,77.515,67.31,96.41,100,100,71.15,10.47,55.74,97.86,72.67,56.805,96.22,21.715,73.37,73.33,100,90.535,93.77,86.225,39.375,21.55,54.775,64.985,93.105,100,95.42,95.185,9.395,26.52,5.61,97.12,100,48.835,75.245,28.23,3.28,22.6,52.31,90.095,88.71,96.815,96.995,25.89,98.675,94.825,100,100
Crizotinib (PF-02341066) 0.5uM,15.61,12.93,33.85,90.51,94.95,95.27,0.86,74.62,100,94.93,94.47,91.48,10.12,87.55,19.41,25.69,31.86,5.68,49.89,43.39,88.81,87.39,83.22,93.62,73.12,89.74,1.75,0.3,27.28,87.54,95.44,89.31,91.3,96.7,94.71,93.49,99.43,94.38,100,74.76,91.85,90.06,88.87,90.01,97.66,94.73,93.88,88.18,95.45,100,100,91.18,100,92.35,90.27,90.89,95.58,93.53,99.3,90.82,100,94.78,90.29,92.2,99.17,97.02,98.99,88.09,92.54,83.13,100,93.96,100,74.38,81.6,100,100,97.49,95.97,91.55,74.47,98.95,100,43.89,10.29,77.92,28.94,34.33,10.75,20.49,72.7,9.2,70.48,83.2,26.7,94.05,96.5,93.42,97.41,4.13,11.79,13.94,96.16,88.82,88.38,92.03,42.52,91.21,51.73,95.76,40.4,99.34,58.02,41.79,100,94.49,90.79,97.61,100,93.64,92.92,93.3,93.93,84.24,88.37,100,100,100,93.68,43.24,100,97.05,83.78,44.65,15.71,89.31,6.91,99.06,72.71,7.35,60.46,100,98.08,99.34,84.75,9.6,11.27,16.84,100,19.93,85.77,36.96,64.76,95.11,94.27,99.22,88.63,81.38,82.73,76.36,94.05,92.11,77.46,52.02,84.77,83.45,96.81,96.47,91.72,85.73,96.2,76.36,99.07,98.14,100,96.06,97.6,96.17,90.52,59.23,97.9,91.92,94.24,99,100,84.65,84.49,100,87.5,95.36,97.14,100,65.21,97.08,97.64,97.37,89.87,100,100,93.92,100,96.43,98.18,99.77,94,88.98,100,92.16,93.97,99.4,94.18,100,89.15,92.05,95.83,100,95.9,100,96.2,100,97.4,97.93,91.78,98.76,95.61,98.86,97.93,62.47,48.87,87.23,94.45,63.8,89.02,94.16,100,90.27,94.88,92.66,93.99,90.1,98.14,30.11,96.96,77.77,76.41,95.32,97.17,95.07,19.17,0,95.31,89.48,87.83,98,98.91,100,97.74,34.33,27.82,38.3,100,100,100,100,90.44,96.98,99.2,92.75,97.28,80.76,95.86,79.22,57.23,86.49,89.45,98.71,100,27.32,100,18.75,2.19,1.05,89.16,55.08,6.18,59.53,26.44,78.09,89.77,93.12,92.36,93.29,100,90.44,61.43,96.01,97.9,100,100
Ponatinib (AP24534) 0.5uM,0,1.23,3.98,98.08,95.1,87.6,89.07,97.68,92.53,94.33,100,2.95,92.21,87.03,97.39,51.97,96.53,56.95,0.41,1.35,0.33,18.09,97.36,88.37,54.99,17.33,33.61,83.07,0.88,93.75,96.15,97.09,88.35,100,99.88,99.8,99.16,85.78,50.48,22.29,96.8,91.38,91.19,98.09,87.41,91.42,92.25,100,99.93,90.08,92.09,100,100,91.9,88.69,12.59,94.73,100,100,94.41,98.9,95.24,90.15,92.78,50.34,100,97.71,66.07,98.49,0.88,66.94,98.41,100,100,3.37,100,100,100,96.14,86.69,84.95,100,48.27,16.55,0.56,0.14,1.29,1.72,0.01,2.53,0.25,0.14,0.5,1.65,1.53,63.68,12.17,93.97,98.35,99.72,63.79,54.48,3.23,6.19,6.92,6.42,0.84,1.52,0.77,0.49,0.57,1.06,0.31,3.84,99.61,97.08,98.45,97.87,100,92.28,95.31,98.45,99.2,0.3,35.1,97.03,99.21,100,68.92,90.85,89.11,70.62,93.63,72.11,4.93,92.7,79.85,89.64,2.97,19.56,7.55,93.51,58.15,100,1.15,3.96,3.17,60.54,100,13.45,17.39,0.2,0,96.68,99.96,89.76,94.93,95.7,100,100,94.55,76.94,40.6,19.09,74.3,86.75,100,90.14,84.57,65.26,94.93,61.88,92.35,35.03,100,100,58.77,73.11,100,89.4,100,100,100,80.56,71.47,14.03,90.96,100,100,12.24,91.76,100,98.04,90.21,98.4,1.84,7.43,93.98,51.65,19.65,76.65,100,100,96.97,98.03,100,100,86.46,95.76,0,1.57,96.12,97.29,100,90.14,100,62.93,64.13,12.16,94.1,100,98.11,84.13,98.89,95.25,97.81,99.9,86.67,96.99,80.12,99.01,81.98,93.53,77.42,97.48,90.56,97.3,96.3,96.3,95.76,86.64,13.51,0,0.97,36.05,95.01,92.09,72.53,96.78,80.82,84.49,81.58,72.48,100,100,96.53,100,66.04,23.25,94.48,1.2,100,100,100,94.43,100,73.66,89.39,91.28,98.21,7.2,49.65,45.56,47.6,96.35,89.56,26.2,1.84,90.19,5.74,2.57,2.21,96,3.35,78.15,26.41,95.46,93.62,92.12,15.28,100,100,96.7,81.78,1.24,0,92.62,100,62.21759671
Foretinib (GSK1363089) 0.5uM,25.54,38.24,22.57,98.06,96.07,98.91,74.17,75.82,100,99.12,95.32,95.44,95.12,93.5,34.63,12.62,39.65,0.84,6,45.64,95.05,0.79,100,94.1,22.55,27.22,0.12,2.06,12.7,100,90.59,98.61,92.55,100,97.66,96.57,100,94.44,78.39,79.63,90.65,98.16,91.83,97.28,89.61,96.19,98.82,100,98.49,100,98.61,100,100,92.65,97.71,47.64,90.99,100,98.33,98.43,99.41,99.64,100,92.01,100,100,100,84.67,98.8,30.34,97.53,96.89,100,100,4.27,100,100,100,97.47,80.31,94.48,100,96.45,17.11,2.49,5.37,2.48,2.65,1.07,1.69,7.36,3.55,2.25,35.42,4.42,95.19,74.62,100,99.33,77.68,36.93,65.59,76.3,46.88,67.6,88.86,11.36,6.02,0.92,2.66,7.33,8.43,48.57,84.56,98.55,99.64,96.2,92.83,99.14,100,97.86,100,100,5.24,100,83.38,99.37,75.4,0.63,82.56,100,100,85.41,11.57,97.69,100,1.54,76.25,100,88.09,100,90.16,96.22,100,1.17,2.03,2.51,61.43,100,17.26,71.03,8.8,13.06,94.04,99.68,100,94.26,95.48,97.87,100,12.05,6.1,84.7,100,100,100,100,99.57,91.01,56.3,52.42,35.79,60.71,18.42,100,100,95.64,95.93,87.58,93.29,100,100,100,96.12,100,83.62,89.67,97.33,100,100,100,95.69,99.93,93.66,98.67,76.27,82.32,57.98,96.73,100,100,100,99.98,93.46,100,100,94.65,96.44,95.54,7.76,29.11,97.37,66.62,100,100,98.11,89.65,100,99.05,100,100,100,99,98.99,96.1,99.97,97.77,94.71,97.36,85.07,100,92.78,85.71,76.94,96.15,94.06,94.95,98.1,100,95.09,100,21.37,100,1.4,50.53,93.84,95.15,87.14,2.35,1.45,100,98.09,96.18,100,100,100,100,95.33,50.24,93.21,22.43,100,100,100,98.95,100,90.49,90.23,94.06,96.73,80.27,67.34,80.17,94.86,90.2,100,93.37,7.12,89.73,4.43,4.02,2.7,93.77,74.34,70.75,96.14,2.59,100,95.78,62.2,94.32,99.77,93.23,95.62,10.97,48.32,94.48,94.67,100
Pluripotin 0.5uM,0,3.02,4.35,100,100,95.2,81.71,93.36,93.69,99.74,98.65,0.54,100,89.36,100,98.65,92.08,100,0.45,0.58,0,3.57,97.69,93.09,1.59,45.27,84.35,88.34,1.88,100,94.88,95.34,93.14,99.25,97.53,100,97.65,90.97,96.43,88.26,98.76,96.54,94.77,96.44,98.35,91.61,97.31,99.36,100,99.96,99.21,98.4,100,96.62,87.45,95.65,98.47,95.28,100,91.76,97.68,93.29,81.62,93.42,99.81,100,95.87,85.68,90.39,0.27,100,100,100,100,3.57,100,100,98.75,99.88,100,100,100,1.79,12.63,4.45,4.7,3.75,9.29,0.47,2.65,0.5,0,0.87,0.68,0,6.12,0.85,95.84,95.39,16.24,11.45,3.6,7.23,13.31,4.58,3.03,0.67,19.44,29.26,3.9,14.44,1.36,4.45,9.52,99.05,100,99.91,100,100,96.8,90.6,93.01,100,0.3,1.77,100,99.43,100,75.87,77.26,100,95.03,95.86,32.99,91.09,100,12.7,98.44,18.28,26.87,61.74,56.98,36.24,100,3.38,1.82,2.88,9.59,100,20.72,5.37,0,0,96.89,95.45,100,99.41,95.84,100,100,95.26,75.37,16.58,27.9,93.73,3.06,100,99.31,31.35,44.81,67.8,12.91,97.14,96.16,100,99.76,86.98,98.8,65.69,88.16,98.33,100,95.45,94.3,42.13,100,62.02,78.94,100,56.77,94.87,100,100,73.42,89.21,0,0,97.93,100,65.46,91.04,100,100,97.11,100,100,99.34,98.24,92.64,5.46,9.42,96.69,90.71,100,100,96.05,100,100,87.23,100,99.01,100,92.67,98.31,99.26,97.18,93.06,91.6,98.99,87.12,95.8,93.52,89.64,84.93,100,94.43,95.03,96.46,68.43,95.3,93.37,8.53,0,1.02,60.53,100,99.57,96.08,99.31,0,51.37,100,70.95,100,100,99.57,100,29.61,38.43,97.13,10.35,100,100,100,97,95.49,87.97,93.06,71.14,82.68,11.73,8.04,0.22,34.55,97.27,13.94,91.46,4.87,95.03,65.13,54.89,48.18,96.96,0,22.05,37.62,72.76,94.42,94.66,81.35,100,99.22,95.06,88.76,0.76,11.28,96.81,100,60.13954555
